ligand_1_name	buried_volume_2.0A	buried_volume_3.5A	buried_volume_5.0A	quadrant_buried_volume_ligand_max	quadrant_buried_volume_ligand_range_max	quadrant_total_volume_ligand_min	quadrant_total_volume_ligand_range_max	pyramidalization_alpha	sterimol_ligand_B1	sterimol_ligand_B5	buried_sterimol_ligand_L	buried_sterimol_ligand_B1	buried_sterimol_ligand_B5	distance_Pd_N	distance_Pd_C	distance_Pd_O	distance_avg_amine_N_H	distance_amine_N_C	distance_carb_C_OH	distance_carb_C_O	distance_carb_OH_O	homo_lumo	partial_charge_metal	partial_charge_phosphine	partial_charge_amine_nitrogen	partial_charge_carbon	partial_charge_carboxylic_oxygen	partial_charge_carbonyl_oxygen	partial_charge_avg_amine_proton	partial_charge_amine_carbon	partial_charge_carbonyl_carbon	fukui_f_plus_amine_nitrogen	fukui_f_minus_amine_nitrogen	fukui_f_plus_aryl_carbon	fukui_f_minus_aryl_carbon	fukui_f_plus_carb_oh	fukui_f_minus_carb_oh	fukui_f_plus_avg_amine_proton	fukui_f_minus_avg_amine_proton	global_nucleophilicity	bond_order_Pd_P	bond_order_Pd_N	bond_order_Pd_C	bond_order_Pd_O	mlep_Pd_C	mlep_Pd_O	num_conformers	min_buried_volume_2.0A	min_buried_volume_ipso_2.5A	min_buried_volume_ipso_3.5A	min_quadrant_buried_volume_ligand_max	min_quadrant_buried_volume_ligand_range_max	min_quadrant_total_volume_ligand_max	min_quadrant_total_volume_ligand_range_max	min_P_int_phosphine	min_P_int_ipso_carbon	min_pyramidalization_alpha	min_sasa_phosphine_area	min_sterimol_ligand_L	min_sterimol_ligand_B1	min_sterimol_ligand_B5	min_buried_sterimol_ligand_L	min_buried_sterimol_ligand_B1	min_buried_sterimol_ligand_B5	min_distance_Pd_P	min_distance_Pd_C	min_distance_Pd_O	min_distance_avg_amine_N_H	min_distance_amine_N_C	min_distance_carb_C_OH	min_distance_carb_C_O	min_distance_carb_OH_O	min_homo_lumo	min_partial_charge_metal	min_partial_charge_phosphine	min_partial_charge_amine_nitrogen	min_partial_charge_carbon	min_partial_charge_carboxylic_oxygen	min_partial_charge_carbonyl_oxygen	min_partial_charge_avg_amine_proton	min_partial_charge_amine_carbon	min_partial_charge_carbonyl_carbon	min_fukui_f_plus_amine_nitrogen	min_fukui_f_minus_amine_nitrogen	min_fukui_f_plus_aryl_carbon	min_fukui_f_minus_aryl_carbon	min_fukui_f_plus_carb_oh	min_fukui_f_minus_carb_oh	min_fukui_f_plus_avg_amine_proton	min_fukui_f_minus_avg_amine_proton	min_global_nucleophilicity	min_tolman_electronic_parameter	min_bond_order_Pd_N	min_bond_order_Pd_C	min_bond_order_Pd_O	min_mlep_Pd_P	min_mlep_Pd_N	max_buried_volume_2.0A	max_buried_volume_3.5A	max_buried_volume_5.0A	max_buried_volume_ipso_2.5A	max_buried_volume_ipso_3.5A	max_quadrant_buried_volume_ligand_max	max_quadrant_buried_volume_ligand_range_max	max_quadrant_total_volume_ligand_max	max_quadrant_total_volume_ligand_min	max_P_int_ligand	max_P_int_phosphine	max_P_int_ipso_carbon	max_pyramidalization_alpha	max_sasa_ligand_area	max_sasa_phosphine_area	max_sterimol_ligand_L	max_sterimol_ligand_B1	max_sterimol_ligand_B5	max_buried_sterimol_ligand_L	max_buried_sterimol_ligand_B1	max_buried_sterimol_ligand_B5	max_distance_Pd_P	max_distance_Pd_N	max_distance_Pd_C	max_distance_Pd_O	max_distance_avg_amine_N_H	max_distance_amine_N_C	max_distance_carb_C_OH	max_distance_carb_C_O	max_distance_carb_OH_O	max_homo_lumo	max_partial_charge_metal	max_partial_charge_phosphine	max_partial_charge_amine_nitrogen	max_partial_charge_carbon	max_partial_charge_carboxylic_oxygen	max_partial_charge_carbonyl_oxygen	max_partial_charge_avg_amine_proton	max_partial_charge_amine_carbon	max_partial_charge_carbonyl_carbon	max_fukui_f_plus_amine_nitrogen	max_fukui_f_minus_amine_nitrogen	max_fukui_f_minus_aryl_carbon	max_fukui_f_plus_carb_oh	max_fukui_f_minus_carb_oh	max_fukui_f_plus_avg_amine_proton	max_fukui_f_minus_avg_amine_proton	max_global_electrophilicity	max_bond_order_Pd_N	max_bond_order_Pd_C	max_bond_order_Pd_O	product_1_yield	buchwald-type
L-001	8.81602476466131	59.4216016931225	167.94269548043013	44.461264302325525	26.086044846768225	25.96564370928469	58.92195950370599	27.61481250614492	4.520425495835728	11.008806667028162	6.999140142383725	4.492916645314367	7.838786488358719	2.2717119345362145	1.9786242432228427	2.1507698984600085	1.0160485692713854	1.4818158928463798	1.2704313167460122	1.2432689875267646	2.204592835612536	9.1240001549696	0.087747054853797	0.5997065752825056	0.0195182915427308	0.0080384857794155	-0.1810676963945279	-0.2604182720871417	0.045782517050341	-0.0655422512245244	-0.0866827640586811	-0.0170129502590051	-0.0289320986419728	0.015372637452749	-0.0137647752955059	0.0039322086441728	0.0201917438348767	0.0132441548830976	0.022407613152263	-5.1343226674533495	0.830832314646293	0.275835068701374	0.802330100602012	0.4106659253185064	2.125647324521754	0.6476984634467075	49	8.613416221722428			44.34635734998824	20.880440522055785	83.46736819680248	49.46082786592109	25.98903891351544		27.32639245648852	6.059982815135922	6.896772493359352	4.03912333723985	9.662285512567234	6.896772493359352	4.03912333723985	7.661021502217576	2.369871759590875	1.9749934428461804	2.0688476616931903	1.01449	1.4766525000275026	1.268536287960058	1.227784207024803	2.199963197747374	7.47232946	0.08354393	0.58974547	0.00309751	-0.00972234	-0.22247905	-0.26860622	0.03007	-0.08489833	-0.09400111	-0.03	-0.031	0.014	-0.017	-0.006	0.014	0.012	0.018	-5.2672	2066.2478283	0.2562	0.7944	0.3997	0.8412248673754404	0.5327641776911157	9.1348513660166	60.59971568062072	169.6162576789442			44.64548608116976	30.088585100105224	88.42147259124786	36.96844287619747	17.795358722527723	26.743952480685945		28.516746685979864	395.2214884332925	7.199979582339702	7.038103009426699	4.841708152305813	11.310832563189834	7.038103009426699	4.778429539158509	7.896185442225302	2.409377876803325	2.3262755780420044	1.9856572440563809	2.1625554317400777	1.02128	1.4858137841763142	1.277810814605145	1.2449046113927549	2.245901027259524	9.22085687	0.11728975	0.60490313	0.02342088	0.01418872	-0.17320025	-0.20666521	0.04987	-0.05485831	-0.07989481	-0.015	-0.022	-0.01	0.005	0.032	0.0165	0.024	1.3215	0.306	0.8143	0.4844	5.3	0
L-002	8.413280326090845	59.18146896914468	178.4860731141784	44.26059316832081	29.932745306587584	44.20921320552521	100.64477833019714	29.1867681632449	5.174602869099159	11.1387331757057	7.449228684506178	5.174602869099159	7.800346404759002	2.12729125648883	1.999298316078365	2.234575100046617	1.02285	1.473590911130337	1.270465487613588	1.2373656516248903	2.238530432949147	6.8774031	0.14077179	0.59335067	0.06102192	-0.0293392	-0.27251429	-0.22505458	0.0377	-0.07735147	-0.09668985	-0.016	-0.024	0.016	-0.007	-0.018	0.041	0.0205	0.02	-5.0379	0.8	0.4256	0.8384	0.3251	1.6969998652850056	0.7304328156513266	1	8.413280326090845			44.26059316832081	29.932745306587584	144.85399153572234	100.64477833019714	30.075155567949302		29.1867681632449	6.029982900209506	7.919758945021623	5.174602869099159	11.1387331757057	7.449228684506178	5.174602869099159	7.800346404759002	2.418856531566392	1.999298316078365	2.234575100046617	1.02285	1.473590911130337	1.270465487613588	1.2373656516248903	2.238530432949147	6.8774031	0.14077179	0.59335067	0.06102192	-0.0293392	-0.27251429	-0.22505458	0.0377	-0.07735147	-0.09668985	-0.016	-0.024	0.016	-0.007	-0.018	0.041	0.0205	0.02	-5.0379	2061.37841501	0.4256	0.8384	0.3251	0.6306185441072407	0.6862110466553043	8.413280326090845	59.18146896914468	178.4860731141784			44.26059316832081	29.932745306587584	144.85399153572234	44.20921320552521	20.53084552525675	30.075155567949302		29.1867681632449	613.000230436064	6.029982900209506	7.919758945021623	5.174602869099159	11.1387331757057	7.449228684506178	5.174602869099159	7.800346404759002	2.418856531566392	2.12729125648883	1.999298316078365	2.234575100046617	1.02285	1.473590911130337	1.270465487613588	1.2373656516248903	2.238530432949147	6.8774031	0.14077179	0.59335067	0.06102192	-0.0293392	-0.27251429	-0.22505458	0.0377	-0.07735147	-0.09668985	-0.016	-0.024	-0.007	-0.018	0.041	0.0205	0.02	1.3778	0.4256	0.8384	0.3251	4.0	0
L-004	9.088333292977907	58.29558772679939	162.61431495316597	44.10789108876661	23.915655829359228	31.695504954419476	120.23882475356513	25.83099494401245	4.639947283176921	11.281566098506056	6.955959878835493	4.639947283176921	7.851410894819048	2.2166094715535936	1.9889757414998464	2.1290207173871982	1.01616	1.4879443885552062	1.2704297220162155	1.2439899802760246	2.2094659304843627	8.77254614	0.08987071	0.60349733	0.01654733	0.01047867	-0.18058336	-0.27011853	0.05064	-0.0679272	-0.09232424	-0.013	-0.029	0.011	-0.011	0.003	0.016	0.012	0.02	-4.9524	0.8851	0.2932	0.7926	0.4242	2.0478576273706794	0.9142580252537518	1	9.088333292977907			44.10789108876661	23.915655829359228	151.9343297079846	120.23882475356513	26.33918835130412		25.83099494401245	7.819977824152287	7.365523895887055	4.639947283176921	11.281566098506056	6.955959878835493	4.639947283176921	7.851410894819048	2.335502506905012	1.9889757414998464	2.1290207173871982	1.01616	1.4879443885552062	1.2704297220162155	1.2439899802760246	2.2094659304843627	8.77254614	0.08987071	0.60349733	0.01654733	0.01047867	-0.18058336	-0.27011853	0.05064	-0.0679272	-0.09232424	-0.013	-0.029	0.011	-0.011	0.003	0.016	0.012	0.02	-4.9524	2064.87469622	0.2932	0.7926	0.4242	1.1881999822044087	0.6272230044686172	9.088333292977907	58.29558772679939	162.61431495316597			44.10789108876661	23.915655829359228	151.9343297079846	31.695504954419476	18.80897173212787	26.33918835130412		25.83099494401245	493.7022140264865	7.819977824152287	7.365523895887055	4.639947283176921	11.281566098506056	6.955959878835493	4.639947283176921	7.851410894819048	2.335502506905012	2.2166094715535936	1.9889757414998464	2.1290207173871982	1.01616	1.4879443885552062	1.2704297220162155	1.2439899802760246	2.2094659304843627	8.77254614	0.08987071	0.60349733	0.01654733	0.01047867	-0.18058336	-0.27011853	0.05064	-0.0679272	-0.09232424	-0.013	-0.029	-0.011	0.003	0.016	0.012	0.02	1.1575	0.2932	0.7926	0.4242	2.5	0
L-005	9.349060633822647	54.84148910623454	153.62168255311556	41.513452201760096	28.23248394569998	19.35049169384544	100.68481570386656	21.28631281243553	5.0856265486438	11.279328764733778	6.980274445046549	4.922460105267199	7.919561806070975	2.2060502347804167	1.981004936304605	2.125871601119215	1.0160551449485504	1.4820409587807164	1.272113871834061	1.242598552493247	2.2061956574675263	9.137778693127467	0.0969140241590583	0.6188567276416236	0.0139367538684613	-0.0023622747563524	-0.1902680906560934	-0.2704856473329267	0.0464780511194888	-0.0567194173710262	-0.0874045971394286	-0.012120638793612	-0.0310954690453095	0.0163456565434345	-0.0118376516234837	0.0026216037839621	0.0211740582594174	0.0127367326326736	0.0229446405535944	-5.165841630583693	0.9250132778672212	0.2953573604263957	0.7878859601403986	0.419990440095599	2.119728203424807	0.9076661774808094	27	8.714025077364251			40.33531300005416	26.277308539176992	108.76487934318746	76.05296559622036	25.220551975240348		18.603612583120768	9.639972663021489	7.220325736105215	4.741819127385936	10.90482537816485	6.755576009482271	4.593857121031881	7.861347999905419	2.2899432846950427	1.9750112176708197	2.0748745008645035	1.01462	1.4693545940746937	1.2690205690972685	1.232184543673157	2.2007827158394253	8.8211744	0.09078148	0.61017192	0.00971901	-0.01703637	-0.21413634	-0.28460086	0.03435	-0.08511742	-0.09586196	-0.016	-0.033	0.013	-0.015	-0.001	0.006	0.011	0.018	-5.3176	2066.77686849	0.2808	0.7831	0.4041	1.42162271193775	0.7196454461792355	9.64222290683396	56.236201462126594	156.24394023743582			43.232468892966125	35.5147384475519	137.97368586309233	32.71191374696709	18.75031971877169	26.588316586324478		30.06213913201749	521.6404440921286	14.03996018556242	7.9683286658610015	5.844302813006042	11.366485717792177	7.490207863489074	5.41826883931779	7.970927191958768	2.3320292086528163	2.2424125985536643	1.9892517323797636	2.147830633687721	1.0228	1.4841757377003826	1.2742436014380565	1.245182427764253	2.2427639995428894	9.34211488	0.10938774	0.62482692	0.02116812	0.00207728	-0.17696991	-0.19844145	0.0628	-0.05145941	-0.08065416	-0.009	-0.024	-0.009	0.005	0.024	0.014	0.025	1.1367	0.3218	0.7945	0.4657	0.0	0
L-006	10.243802588631734	58.536102277672526	170.27179475557003	44.20196921936063	29.083926454626955	19.82413399290814	226.18094717353188	25.589185246425	5.433841958725961	11.364653606618878	8.054062862049236	5.040860267410207	7.89114466688293	2.211545117306004	1.9877915785923412	2.1054538355868155	1.0185513613863864	1.4751392348742116	1.2714478609435995	1.241756710792489	2.208651917608896	8.562909471932482	0.1044496975190248	0.6194219893248067	0.0180859877072229	-0.004964425593344	-0.1859625097850021	-0.2694316613627864	0.0431071172288277	-0.0589998649727502	-0.0830867472749272	-0.0102449775502244	-0.0251487685123148	0.0064229557704422	-0.0100118198818011	0.0021330786692133	0.0094677053229467	0.0092166728332716	0.0189956750432495	-5.023662098379018	0.9301978700212996	0.2910270437295627	0.7860359116408837	0.4390968050319496	2.057595735873257	0.989496613716644	9	8.969333571251024	61.41303437502592	149.04455097748522	43.51067953105803	23.73889794275196	161.81004590810264	102.89184392251268	27.833726554793127	40.71558476053227	22.5407432172972	6.709980971874924	8.187618947679992	4.974780548666212	11.143034596350711	7.144885044384738	4.837669577797781	7.864135986233996	2.2831398758159795	1.984002547847552	2.067754184564562	1.01796	1.4738520032508793	1.2712220151090028	1.2301435367778857	2.205351375757268	7.95766393	0.10142177	0.60689794	0.01663379	-0.02590607	-0.22063243	-0.27166194	0.01162	-0.08221394	-0.08989166	-0.015	-0.028	0.0	-0.011	-0.001	0.003	0.009	0.0165	-5.0619	2067.94593455	0.2886	0.7781	0.4166	1.5857738506871546	0.6979925675980236	10.438439226752037	73.23528981140392	217.82491713874236	63.57154117799944	160.99191984562003	44.23339964730431	31.973305287479725	246.92438219832397	58.91820198558994	21.775585853254785	32.14887403652302	44.67113280507738	27.13786861201771	670.192364242072	12.179965460124665	9.94976812199714	5.503421223687102	11.538210794685408	8.073747415705927	5.167921579782181	7.9814097805654995	2.315126922218389	2.2136463760924663	1.9945339933133657	2.130937492529715	1.02546	1.4793688490647017	1.2769809288728895	1.2422722574623946	2.2458931077668454	8.62268162	0.12316778	0.6217834	0.02283169	-0.00461747	-0.18401019	-0.20388766	0.04391	-0.05854166	-0.07811299	-0.01	-0.018	-0.007	0.003	0.018	0.0115	0.021	1.2849	0.3426	0.7875	0.4736	9.5	1
L-007	9.625995672053024	56.57193685621495	159.13346708079308	43.73868674573486	27.845119616243792	26.46216737520826	236.7450633718605	24.22514576497496	5.183352036274499	11.310431482779215	8.286909676500304	4.779937413073507	7.948564158023008	2.1859178352676563	1.9825222310394648	2.136788590648465	1.01632	1.4795312167930572	1.2708738361499996	1.2427567687234804	2.2055090909202164	9.0063723	0.08966416	0.61717015	0.01851018	0.00498757	-0.19219093	-0.26347693	0.05316	-0.07119639	-0.09074235	-0.01	-0.03	0.005	-0.011	0.003	0.021	0.008	0.0225	-5.1523	0.9088	0.3111	0.7887	0.4123	2.1036256502014483	0.7290483572257047	1	9.625995672053024	63.34993732063592	156.08139749283242	43.73868674573486	27.845119616243792	263.2072307470688	236.7450633718605	28.83658621205049	43.63115880917346	24.22514576497496	9.94997178392778	10.555830963241434	5.183352036274499	11.310431482779215	8.286909676500304	4.779937413073507	7.948564158023008	2.316544360075518	1.9825222310394648	2.136788590648465	1.01632	1.4795312167930572	1.2708738361499996	1.2427567687234804	2.2055090909202164	9.0063723	0.08966416	0.61717015	0.01851018	0.00498757	-0.19219093	-0.26347693	0.05316	-0.07119639	-0.09074235	-0.01	-0.03	0.005	-0.011	0.003	0.021	0.008	0.0225	-5.1523	2064.77325534	0.3111	0.7887	0.4123	1.27334491503622	0.7447636267663158	9.625995672053024	56.57193685621495	159.13346708079308	63.34993732063592	156.08139749283242	43.73868674573486	27.845119616243792	263.2072307470688	26.46216737520826	21.69495205684268	28.83658621205049	43.63115880917346	24.22514576497496	681.3018748411416	9.94997178392778	10.555830963241434	5.183352036274499	11.310431482779215	8.286909676500304	4.779937413073507	7.948564158023008	2.316544360075518	2.1859178352676563	1.9825222310394648	2.136788590648465	1.01632	1.4795312167930572	1.2708738361499996	1.2427567687234804	2.2055090909202164	9.0063723	0.08966416	0.61717015	0.01851018	0.00498757	-0.19219093	-0.26347693	0.05316	-0.07119639	-0.09074235	-0.01	-0.03	-0.011	0.003	0.021	0.008	0.0225	1.2582	0.3111	0.7887	0.4123	8.7	1
L-008	9.938936293716267	57.46109088065074	167.29413082375214	43.164356057167645	29.730083290221856	21.503399217956986	241.9295944731741	24.990415030684268	5.298816114333245	11.44300071296631	8.057136572389675	5.017069092129045	7.925705941062469	2.1950898535686103	1.9870370547354763	2.098082809253897	1.0170637707	1.476291069735672	1.272876449076869	1.2399689177218347	2.214108558749125	8.3783929815104	0.1041985195485999	0.6156727385085	0.0200962011908	-0.0052346385572	-0.1903666357661	-0.2615302174089	0.045528406	-0.0608205999899	-0.0844365612554	-0.01209305	-0.02825104	0.00609452	-0.01016917	0.00245405	0.01466485	0.009940565	0.0210788599999999	-5.22041765	0.920344105	0.3020973349999999	0.7855639550000001	0.446449419	2.098788424331439	0.9677502249427736	9	9.098069633846473	63.44262739559085	161.62992168485337	43.05048148308646	29.24454004393918	262.05780541923275	239.61761129805157	28.36148540640135	46.618030248197	24.249547424860157	8.639975498807646	9.909768258121284	4.911811386557302	10.53681382303954	7.051726319255215	4.797184236797026	7.853952141528083	2.2862166116578093	1.9838940496660395	2.060828305789519	1.01459	1.475486451463326	1.271714995319557	1.2311607119733592	2.2075529124889166	7.80310285	0.0939973	0.60789372	0.0153848	-0.01499069	-0.20779941	-0.26932782	0.03739	-0.07873078	-0.09201229	-0.014	-0.031	0.003	-0.013	-0.001	0.008	0.009	0.0175	-5.2809	2067.02264506	0.297	0.7791	0.4254	1.423913681496253	0.7417947466127726	10.108485452872944	58.181584119460986	169.10543061199354	63.583260612763866	162.41748788967743	44.04409090484327	35.309741135273654	290.41266609045374	22.735673600333374	21.682121434341568	30.384581256202026	49.98841516565913	28.582661800399208	702.7421100028333	11.289967983974345	11.184491407316576	5.342830089025831	11.513673281223676	8.154831301858557	5.151631657274024	7.959019480991938	2.3150959094540347	2.2232305233302547	1.9921632260617612	2.1186377017067075	1.01941	1.4822357397906305	1.2765185305403204	1.2427158727198084	2.2445873576850284	8.96049613	0.11569321	0.61710178	0.02593319	-0.00299754	-0.18816802	-0.23629713	0.0469	-0.05503564	-0.07476201	-0.012	-0.023	-0.007	0.004	0.022	0.0115	0.022	1.3357	0.327	0.7883	0.4813	7.0	1
L-009	9.311932233924502	60.45372946990244	175.28476837805087	43.79211478733112	28.2065566529495	27.25121342062362	238.21949345302937	30.60541713483246	4.8900885348539	10.954641405621429	7.031076343660523	4.6433301067421615	7.873031847760219	2.127664799247676	2.00138846111033	2.106227933337799	1.018711861	1.4753423016731024	1.2766994754433956	1.2339812985627443	2.231084600877408	8.402666152951799	0.1240827669524	0.6457966662342	0.0654022972645999	-0.0698316033148	-0.2669744407916	-0.2226294612715	0.0529314560999999	-0.0660393829683	-0.093338396824	-0.00881532	-0.0278994599999999	0.00593375	-0.0055603399999999	-0.00475512	0.01797615	0.0119709699999999	0.018264095	-5.207483382	0.8965522069999999	0.415132978	0.803022363	0.403929779	1.908294690094006	1.164089240269548	4	9.260341981655865	63.24872402039778	161.70836453393943	43.75228350624312	26.98434008560605	258.95273240463666	233.7009139612134	29.2031406061446	46.19246708808552	30.54646124150168	6.549981425600699	10.143455680076368	4.509848563996146	10.713470397622332	6.99401796077669	4.509848563996146	7.72676206101929	2.3197555583365417	1.995866536228488	2.0981155173369794	1.0175	1.471026339171111	1.275507502369215	1.2329853632370584	2.2262725751163805	8.15188824	0.12154121	0.64287978	0.06098771	-0.07645677	-0.27410349	-0.23302252	0.04324	-0.07472351	-0.09911104	-0.01	-0.028	0.003	-0.007	-0.007	0.007	0.0095	0.0155	-5.2436	2065.52785422	0.405	0.7981	0.3894	1.2786043112856704	0.8476566512457158	9.393405306859565	60.76392271137421	176.0898297819371	63.29986337209705	162.2501431449605	43.817129594820926	29.007119687372025	275.4488135672027	33.74659962069938	21.18940609668549	29.444870997362223	49.42764440276156	30.79135780826258	652.4623744500783	6.949980291286241	10.81076536549416	5.089254650221298	11.293262603451057	7.063481022712867	4.85886838655301	7.946489967813965	2.325230789644761	2.1401090516564687	2.005357308708432	2.125962191906199	1.02101	1.4779143843682878	1.2773584440239547	1.2350202242546122	2.2398573383585614	8.47104253	0.13000552	0.6481258	0.07384091	-0.05578857	-0.25888688	-0.20167533	0.05929	-0.05912967	-0.07975439	-0.008	-0.026	-0.004	-0.004	0.03	0.0135	0.02	1.3452	0.4396	0.8099	0.4097	6.4	1
L-010	10.09747032132814	67.02893011199774	197.25943235010897	43.59354819648089	24.774866874307683	40.38154973085211	188.07647591572936	29.79299476962856	5.328434901841622	11.339638363616068	6.787681401093963	4.805393225870865	7.815736200292582	2.199698733974573	1.998507733560393	2.124200815803223	1.0168079891201092	1.4777856781714844	1.272084806084598	1.2403679761265831	2.2086987734709185	8.276816255169948	0.0896639003811961	0.6182622891439085	0.0313447458312416	0.0251250527726722	-0.1763259019551804	-0.2628978445305547	0.0437841144588554	-0.0598913661004389	-0.0850463701030989	-0.0141273487265127	-0.0350061499385006	0.0056540034599653	-0.0130040699593004	0.0030572994270057	0.0118860711392886	0.0106112038879611	0.0244861801381986	-4.94250388796112	0.8323165448345516	0.3017859941400584	0.7883686413135869	0.4384652213477865	1.894352132538921	0.8572617916166146	22	10.054394670269811	64.47287225169914	166.47455204440868	43.529505814838686	22.69403919292558	215.17810757394705	175.90675246848085	30.455067987860577	60.742069642042864	28.56776035696708	4.9899858494271045	9.692028891217898	4.837941118088557	11.209681041695855	6.770112831107054	4.682542985162551	7.729985895338988	2.3481176378775883	1.9961808906408725	2.088080852968301	1.01647	1.4764675591782352	1.2705298946289787	1.2306628150588907	2.2072301425172016	7.80629926	0.08764555	0.60680132	0.02635307	0.00937478	-0.20729259	-0.2727489	0.02722	-0.06262739	-0.09334295	-0.018	-0.036	0.003	-0.016	-0.001	0.009	0.0105	0.0215	-5.0727	2061.82640426	0.3	0.7803	0.4336	0.9179413480373336	0.7014780274507643	10.288066851115332	67.88130388511642	199.18437307747007	64.52720781287962	167.03829465317386	44.00330062331852	25.40606996199444	248.49519578680665	44.9819275822772	21.72544266579876	31.93893612610836	65.46400405654444	30.14450904750273	678.0424321353267	5.479984459891882	9.91628138853512	5.525001005720425	11.465646111223586	7.75226351289857	5.230487601753473	7.927660013193537	2.370392010216744	2.200762788007306	2.005020064850254	2.1303549309946432	1.01889	1.4806270251693228	1.2754615301550736	1.241918872366511	2.2455250387741805	8.36642499	0.10568812	0.61919304	0.03295373	0.0289857	-0.1611486	-0.22540175	0.04453	-0.05846385	-0.08157317	-0.014	-0.029	-0.011	0.004	0.019	0.0125	0.0255	1.3053	0.3341	0.7899	0.4697	6.8	1
L-011	10.201063114658826	66.9489776254367	197.7054876667273	43.59056866755937	24.88539767552364	41.135536093907255	187.01330289820933	28.806997770339223	5.215210481931858	11.317322621657448	7.111774382131901	4.9121594158160375	7.85359020944864	2.19878814566046	1.9970534170878973	2.1120253292087585	1.0170329986	1.4773505474601738	1.2725031882792397	1.239785107501238	2.214089183938087	8.2163350041312	0.0949243724559999	0.6205832365339	0.0320482294006	0.0192780663735999	-0.172131532361	-0.2608912709856	0.0414722517	-0.0594418771858	-0.0875108966072999	-0.01367339	-0.03271919	0.00487023	-0.0119692899999999	0.0028437399999999	0.0119730999999999	0.01019727	0.0230326	-4.986311664	0.8278159339999999	0.303746599	0.787716694	0.4482309779999999	1.9642120147170328	1.011817209304687	25	9.840195171161415	64.37592056410261	165.47152948076152	43.36320697477623	23.588287672506716	218.38167374826045	177.48873538435413	30.152585520914545	48.86115392695626	27.806020037127304	3.999988656855393	9.641646028104596	4.805127586856416	11.0927246977974	6.785211494424114	4.653202361086169	7.611294627097939	2.33680745947105	1.992053626669254	2.066514561495762	1.01628	1.475419190017956	1.2715694812758205	1.2297027615809866	2.207669214610573	7.76044312	0.08841566	0.60716189	0.02299711	-0.0006708	-0.20739876	-0.27188335	0.03233	-0.06295706	-0.0942167	-0.018	-0.035	0.003	-0.016	-0.001	0.009	0.01	0.0195	-5.126	2063.14712637	0.2929	0.7794	0.4366	0.7881389606074972	0.6967754758919629	10.541211713697985	68.55800419656555	201.39795703425628	64.53040402236083	166.8448022920949	43.95623491386688	26.07021941758978	243.4821985752106	43.274035884909466	21.798634536876328	31.97603232451777	56.82215135157131	29.71659382919576	696.1224263459194	5.939983155430257	9.920073006892364	5.614069389534864	11.478928517695367	7.691004807984495	5.41557360542185	7.928178463532693	2.4089904782041422	2.221081166885337	2.004246802895831	2.128045859035782	1.01822	1.481264022965463	1.275381091168612	1.2418621590536312	2.246504905244905	8.4199493	0.1171557	0.62534773	0.03512433	0.02852873	-0.16691099	-0.23224419	0.04481	-0.05405415	-0.07921667	-0.013	-0.024	-0.005	0.004	0.019	0.0125	0.0245	1.362	0.3315	0.7909	0.4894	6.3	1
