rxn_id	ligand_1_name	ligand_1_cas	ligand_1_smiles	startingmat_1_cas	startingmat_1_smiles	startingmat_2_cas	startingmat_2_smiles	product_1_smiles	product_1_yield
AN-001	L-001	131274-22-1	CC(C)(C)P(C(C)(C)C)C(C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	2.6
AN-002	L-002	897665-73-5	P(C12CC3CC(CC(C3)C1)C2)(C45CC6CC(CC(C6)C4)C5)C78CC9CC(CC(C9)C7)C8	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0.7
AN-003	L-003	312959-24-3	CC(C)(C)P(C(C)(C)C)[C-]12[CH]3=[CH]4[CH]5=[CH]1[Fe+2]54367892C%10(C%11=CC=CC=C%11)=C(C(C%12=CC=CC=C%12)7=C([C-]%109C%13=CC=CC=C%13)8C%14=CC=CC=C%14)6C%15=CC=CC=C%15	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	5.2
AN-004	L-004	932710-63-9	CN(C)C1=CC=C(P(C(C)(C)C)C(C)(C)C)C=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	2.4
AN-005	L-005	2622-14-2	P(C1CCCCC1)(C2CCCCC2)C3CCCCC3	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	2.3
AN-006	L-006	1160556-64-8	CN(C)C(C=CC=C1N(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	65
AN-007	L-007	787618-22-8	CC(C)OC(C=CC=C1OC(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	49.9
AN-008	L-008	564483-18-7	CC(C)C(C=C1C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	43.3
AN-009	L-009	564483-19-8	CC(C)C(C=C1C(C)C)=CC(C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	6.3
AN-010	L-010	1262046-34-3	CC(C)C(C=C1C(C)C)=CC(C(C)C)=C1C2=C(C)C=CC(OC)=C2P(C(C)(C)C)C(C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	21.9
AN-011	L-011	1160861-53-9	CC(C)C(C=C1C(C)C)=CC(C(C)C)=C1C2=C(OC)C=CC(OC)=C2P(C(C)(C)C)C(C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	15.5
AN-012	L-012	1160861-59-5	CC(C)C(C=C1C(C)C)=CC(C(C)C)=C1C2=C(OC)C=CC(OC)=C2P([C@]34C[C@H](C[C@@H]5C4)C[C@H](C5)C3)[C@@]67CC(C[C@@H]8C7)CC(C8)C6	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	2.3
