rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles	cluster
L1252	COc1ccc(Cn2c(-c3ccc(F)c(F)c3)nc3cnc(Cl)cc32)cc1	Nc1ccc(C(F)(F)F)cn1	COc1ccc(Cn2c(-c3ccc(F)c(F)c3)nc3cnc(Nc4ccc(C(F)(F)F)cn4)cc32)cc1	0
L10413	FC(F)(F)c1cccc(Nc2nc(Cl)ncc2Cl)c1	CN1CCN(c2ccc(N)nc2)CC1	CN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4cccc(C(F)(F)F)c4)n3)nc2)CC1	1
L12295	CN(C)C(=O)c1cc2cnc(Cl)nc2n1C1CCCC1	COC(=O)c1ccc(N)cc1	COC(=O)c1ccc(Nc2ncc3cc(C(=O)N(C)C)n(C4CCCC4)c3n2)cc1	2
L9610	Fc1cccc(Nc2nc(Cl)nc3c2ncn3CC2CC2)c1	CN1CCN(c2ccc(N)cc2)CC1	CN1CCN(c2ccc(Nc3nc(Nc4cccc(F)c4)c4ncn(CC5CC5)c4n3)cc2)CC1	3
L6256	COc1cc2c(Cl)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	CC(C)(C)OC(=O)N1CCC(N)CC1	COc1cc2c(NC3CCN(C(=O)OC(C)(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1	4
L2038	COc1nc2nonc2cc1Cl	Nc1cc(F)c(C(F)(F)F)c(F)c1	COc1nc2nonc2cc1Nc1cc(F)c(C(F)(F)F)c(F)c1	5
L2699	CC(C)(C)OC(=O)N1CCC[C@H](Oc2cc(Br)cnc2C#N)C1	CNc1nc(N)ncc1C(F)(F)F	CNc1nc(Nc2cnc(C#N)c(O[C@H]3CCCN(C(=O)OC(C)(C)C)C3)c2)ncc1C(F)(F)F	6
L8489	Clc1ccccn1	Nc1ccccn1	c1ccc(Nc2ccccn2)nc1	7
L2797	Fc1cnc(Cl)nc1-c1ccc2scnc2c1	CCN1CCN(Cc2ccc(N)nc2)CC1	CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4ccc5scnc5c4)n3)nc2)CC1	8
L11057	CCOC(=O)c1cc2c(Cl)ccc([N+](=O)[O-])c2[nH]1	Nc1ccc(F)c(Cl)c1	CCOC(=O)c1cc2c(Nc3ccc(F)c(Cl)c3)ccc([N+](=O)[O-])c2[nH]1	9
L3165	N#Cc1nc2ccc(Br)cc2s1	CS(N)(=O)=O	CS(=O)(=O)Nc1ccc2nc(C#N)sc2c1	10
L10780	Clc1cc(Oc2cn(C3CC3)nc2C2CCOCC2)ccn1	Nc1ccnc(C2(O)COC2)c1	OC1(c2cc(Nc3cc(Oc4cn(C5CC5)nc4C4CCOCC4)ccn3)ccn2)COC1	11
L8627	Cc1nc(Br)c(C)c(C)c1OCc1ccccc1	Nc1ccccc1	Cc1nc(Nc2ccccc2)c(C)c(C)c1OCc1ccccc1	12
L2202	Fc1cnc(Cl)nc1-c1ccc2ncsc2c1	CC(C)(C)OC(=O)N1CCN(C(=O)c2ccc(N)nc2)CC1	CC(C)(C)OC(=O)N1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4ccc5ncsc5c4)n3)nc2)CC1	13
L13391	O=[N+]([O-])c1ccc(CNc2nc3ccc([N+](=O)[O-])cc3nc2Cl)cc1	CN(C)CCCN	CN(C)CCCNc1nc2cc([N+](=O)[O-])ccc2nc1NCc1ccc([N+](=O)[O-])cc1	14
L9730	Clc1ccccc1	CCCCCCCCN	CCCCCCCCNc1ccccc1	15
L11222	Cn1cc(-c2ccn3c(-c4cccc(Cl)n4)cnc3c2)cn1	CS(=O)(=O)c1ccc(N)cc1	Cn1cc(-c2ccn3c(-c4cccc(Nc5ccc(S(C)(=O)=O)cc5)n4)cnc3c2)cn1	16
L5128	COc1cccc(Br)c1	CC1(C)CC(CCN)(c2ccccc2)CCO1	COc1cccc(NCCC2(c3ccccc3)CCOC(C)(C)C2)c1	17
L2708	N#Cc1ccc(Br)cn1	CC(C)(C)OC(=O)N1CCC(CNc2nc(N)ncc2C(F)(F)F)CC1	CC(C)(C)OC(=O)N1CCC(CNc2nc(Nc3ccc(C#N)nc3)ncc2C(F)(F)F)CC1	18
L6899	COc1ccc2nc(C)cc(Cl)c2c1	COc1ccc(CN)cc1	COc1ccc(CNc2cc(C)nc3ccc(OC)cc23)cc1	19
L6799	O=S(=O)(c1ccc2c(c1)c(Br)nn2C1CC1)N1CCC(O)CC1	Cc1cc(N)ccc1F	Cc1cc(Nc2nn(C3CC3)c3ccc(S(=O)(=O)N4CCC(O)CC4)cc23)ccc1F	20
L10865	Brc1ccccc1	NC(=O)Nc1ccccc1	O=C(Nc1ccccc1)Nc1ccccc1	21
L7426	CN1CCC([C@@](C)(O)c2ccc3cnc(Cl)cc3n2)CC1	Nc1ccc(-n2ccc(CO)n2)cc1F	CN1CCC([C@@](C)(O)c2ccc3cnc(Nc4ccc(-n5ccc(CO)n5)cc4F)cc3n2)CC1	22
