Reaction ID	Reaction: Links to Reaxys	Data Count	Number of Reaction Details	Reaction Rank	Record Type	Reactant	Product	Bin	Reaction	
4924909	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D4924909&database=RX&origin=ReaxysOutput&ln=	(1 of 5000)	7	105	full reaction; has preparation	bromochlorobenzene; benzophenone hydrazone	N-benzhydrylidene-N'-(4-chlorophenyl)-hydrazine	285256	ClC1=CC=C(Br)C=C1.NN=C(C1=CC=CC=C1)C1=CC=CC=C1>>ClC1=CC=C(NN=C(C2=CC=CC=C2)C2=CC=CC=C2)C=C1	
4926997	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D4926997&database=RX&origin=ReaxysOutput&ln=	(2 of 5000)	6	105	full reaction; has preparation	1-bromo-4-methoxy-benzene; benzophenone hydrazone	1-(diphenylmethylene)-2-(4-methoxyphenyl)hydrazine	285256	COC1=CC=C(Br)C=C1.NN=C(C1=CC=CC=C1)C1=CC=CC=C1>>COC1=CC=C(NN=C(C2=CC=CC=C2)C2=CC=CC=C2)C=C1	
8995669	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D8995669&database=RX&origin=ReaxysOutput&ln=	(3 of 5000)	9	105	full reaction; has preparation	bromobenzene; benzophenone hydrazone	benzophenone N-phenylhydrazone	285256	BrC1=CC=CC=C1.NN=C(C1=CC=CC=C1)C1=CC=CC=C1>>N(N=C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1	
10023225	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D10023225&database=RX&origin=ReaxysOutput&ln=	(4 of 5000)	5	105	full reaction; has preparation	2-amino-5-cyanothiazole; 2-chloropyridine-4-carbaldehyde	2-[(4-formylpyridin-2-yl)amino]-thiazole-5-carbonitrile	282391	NC1=NC=C(S1)C#N.ClC1=NC=CC(C=O)=C1>>O=CC1=CC=NC(NC2=NC=C(S2)C#N)=C1	
28196360	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28196360&database=RX&origin=ReaxysOutput&ln=	(5 of 5000)	6	105	full reaction; has preparation	4-chloromethoxybenzene; methylamine	N-methyl-N-(4-methoxyphenyl)amine	278811	COC1=CC=C(Cl)C=C1.CN>>CNC1=CC=C(OC)C=C1	
30285577	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D30285577&database=RX&origin=ReaxysOutput&ln=	(6 of 5000)	8	105	full reaction; has preparation	2-bromo-3-picoline; tert-butylamine	N-(tert-butyl)-3-methylpyridin-2-amine	279359	CC1=CC=CN=C1Br.CC(C)(C)N>>CC1=CC=CN=C1NC(C)(C)C	
31140252	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D31140252&database=RX&origin=ReaxysOutput&ln=	(7 of 5000)	19	105	full reaction; has preparation	5-bromo-2-chloro-3-fluoropyridine; tert-butyl carbamate	tert-butyl (6-chloro-5-fluoropyridin-3-yl)carbamate	285429	FC1=C(Cl)N=CC(Br)=C1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)NC1=CC(F)=C(Cl)N=C1	
1284203	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D1284203&database=RX&origin=ReaxysOutput&ln=	(8 of 5000)	8	104	full reaction; has preparation	bromobenzene; tert-butylamine	N-tert-butylaniline	278802	BrC1=CC=CC=C1.CC(C)(C)N>>CC(C)(C)NC1=CC=CC=C1	
9414925	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D9414925&database=RX&origin=ReaxysOutput&ln=	(9 of 5000)	7	104	full reaction; has preparation	4-bromo-1,1'-biphenyl; benzylamine	N-benzyl-[1,1'-biphenyl]-4-amine	278770	BrC1=CC=C(C=C1)C1=CC=CC=C1.NCC1=CC=CC=C1>>C(NC1=CC=C(C=C1)C1=CC=CC=C1)C1=CC=CC=C1	
9713079	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D9713079&database=RX&origin=ReaxysOutput&ln=	(10 of 5000)	4	104	full reaction; has preparation	acetamide; 1,3-dibromo-5-fluorobenzene	N-(3-bromo-5-fluorophenyl)acetamide		CC(N)=O.FC1=CC(Br)=CC(Br)=C1>>CC(=O)NC1=CC(Br)=CC(F)=C1	
