Reaction ID	Reaction: Links to Reaxys	Data Count	Number of Reaction Details	Reaction Rank	Record Type	Reactant	Product	Bin	Reaction	
28451739	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451739&database=RX&origin=ReaxysOutput&ln=	(1 of 2869)	1	69	full reaction; has preparation	C13H9ClFN3; (S)-1-phenyl-ethylamine	C21H19FN4	279285	CC1=NN(C2=CC(Cl)=NC=C12)C1=CC=CC(F)=C1.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC=CC(F)=C1)C1=CC=CC=C1	
28451740	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451740&database=RX&origin=ReaxysOutput&ln=	(2 of 2869)	1	69	full reaction; has preparation	C13H9ClFN3; (S)-1-phenyl-ethylamine	C21H19FN4	279285	CC1=NN(C2=CC(Cl)=NC=C12)C1=CC=C(F)C=C1.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC=C(F)C=C1)C1=CC=CC=C1	
28451741	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451741&database=RX&origin=ReaxysOutput&ln=	(3 of 2869)	1	69	full reaction; has preparation	C13H9Cl2N3; (S)-1-phenyl-ethylamine	C21H19ClN4	279285	CC1=NN(C2=CC(Cl)=NC=C12)C1=CC=CC(Cl)=C1.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC=CC(Cl)=C1)C1=CC=CC=C1	
28451742	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451742&database=RX&origin=ReaxysOutput&ln=	(4 of 2869)	1	69	full reaction; has preparation	C16H16ClN3; (S)-1-phenyl-ethylamine	C24H26N4	279285	CC(C)C1=CC(=CC=C1)N1N=C(C)C2=CN=C(Cl)C=C12.[H][C@@](C)(N)C1=CC=CC=C1>>CC(C)C1=CC(=CC=C1)N1N=C(C)C2=CN=C(N[C@@H](C)C3=CC=CC=C3)C=C12	
28451743	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451743&database=RX&origin=ReaxysOutput&ln=	(5 of 2869)	1	69	full reaction; has preparation	C14H9ClN4; (S)-1-phenyl-ethylamine	C22H19N5	279285	CC1=NN(C2=CC(Cl)=NC=C12)C1=CC=CC(=C1)C#N.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC=CC(=C1)C#N)C1=CC=CC=C1	
28451744	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451744&database=RX&origin=ReaxysOutput&ln=	(6 of 2869)	1	69	full reaction; has preparation	C15H15ClN4; (S)-1-phenyl-ethylamine	C23H25N5	279285	CN(C)C1=CC(=CC=C1)N1N=C(C)C2=CN=C(Cl)C=C12.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC=CC(=C1)N(C)C)C1=CC=CC=C1	
28451745	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451745&database=RX&origin=ReaxysOutput&ln=	(7 of 2869)	1	69	full reaction; has preparation	C14H12ClN3O2S; (S)-1-phenyl-ethylamine	C22H22N4O2S	279285	CC1=NN(C2=CC(Cl)=NC=C12)C1=CC=CC(=C1)S(C)(=O)=O.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC=CC(=C1)S(C)(=O)=O)C1=CC=CC=C1	
28451746	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451746&database=RX&origin=ReaxysOutput&ln=	(8 of 2869)	1	69	full reaction; has preparation	C15H14ClN3; (S)-1-phenyl-ethylamine	C23H24N4	279285	CC1=NN(C2=CC(Cl)=NC=C12)C1=CC(C)=CC(C)=C1.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC(C)=CC(C)=C1)C1=CC=CC=C1	
28451747	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451747&database=RX&origin=ReaxysOutput&ln=	(9 of 2869)	1	69	full reaction; has preparation	C13H8Cl3N3; (S)-1-phenyl-ethylamine	C21H18Cl2N4	279285	CC1=NN(C2=CC(Cl)=NC=C12)C1=CC(Cl)=CC(Cl)=C1.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC(Cl)=CC(Cl)=C1)C1=CC=CC=C1	
28451748	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451748&database=RX&origin=ReaxysOutput&ln=	(10 of 2869)	1	69	full reaction; has preparation	C13H8BrCl2N3; (S)-1-phenyl-ethylamine	C21H18BrClN4	279285	CC1=NN(C2=CC(Cl)=NC=C12)C1=CC(Br)=CC(Cl)=C1.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C1=CC(Br)=CC(Cl)=C1)C1=CC=CC=C1	
28451758	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451758&database=RX&origin=ReaxysOutput&ln=	(11 of 2869)	1	69	full reaction; has preparation	C26H20ClN3; (S)-1-phenyl-ethylamine	C34H30N4	279285	CC1=NN(C2=CC(Cl)=NC=C12)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C(C)=NN(C2=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1	
28451786	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28451786&database=RX&origin=ReaxysOutput&ln=	(12 of 2869)	1	69	full reaction; has preparation	C12H6BrCl2N3; (S)-1-phenyl-ethylamine	C20H16BrClN4	279285	ClC1=CC(=CC(Br)=C1)N1N=CC2=CN=C(Cl)C=C12.[H][C@@](C)(N)C1=CC=CC=C1>>C[C@H](NC1=NC=C2C=NN(C2=C1)C1=CC(Br)=CC(Cl)=C1)C1=CC=CC=C1	
28478506	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28478506&database=RX&origin=ReaxysOutput&ln=	(13 of 2869)	1	69	full reaction; has preparation	2-bromoanisole; nicotinamide	nicotinic acid o-anisidide	278768	COC1=CC=CC=C1Br.NC(=O)C1=CN=CC=C1>>COC1=C(NC(=O)C2=CC=CN=C2)C=CC=C1	
28555410	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28555410&database=RX&origin=ReaxysOutput&ln=	(14 of 2869)	1	69	full reaction; has preparation	1-(2-aminoethyl)piperidine; ethyl 6-bromo-4-[(2,3-dichlorophenyl)amino]-7-methoxyquinoline-3-carboxylate	C26H30Cl2N4O3	278781	NCCN1CCCCC1.CCOC(=O)C1=C(NC2=CC=CC(Cl)=C2Cl)C2=CC(Br)=C(OC)C=C2N=C1>>CCOC(=O)C1=C(NC2=C(Cl)C(Cl)=CC=C2)C2=CC(NCCN3CCCCC3)=C(OC)C=C2N=C1	
28555411	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28555411&database=RX&origin=ReaxysOutput&ln=	(15 of 2869)	1	69	full reaction; has preparation	1-(2-aminoethyl)piperidine; ethyl 7-bromo-4-[(2,3-dichlorophenyl)amino]-6-methoxyquinoline-3-carboxylate	C26H30Cl2N4O3	278781	NCCN1CCCCC1.CCOC(=O)C1=C(NC2=CC=CC(Cl)=C2Cl)C2=CC(OC)=C(Br)C=C2N=C1>>CCOC(=O)C1=C(NC2=C(Cl)C(Cl)=CC=C2)C2=CC(OC)=C(NCCN3CCCCC3)C=C2N=C1	
28555413	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28555413&database=RX&origin=ReaxysOutput&ln=	(16 of 2869)	1	69	full reaction; has preparation	1-(2-aminoethyl)piperidine; ethyl 6-bromo-4-[(2,4-difluorophenyl)amino]-7-methoxyquinoline-3-carboxylate	C26H30F2N4O3	278781	NCCN1CCCCC1.CCOC(=O)C1=C(NC2=CC=C(F)C=C2F)C2=CC(Br)=C(OC)C=C2N=C1>>CCOC(=O)C1=C(NC2=C(F)C=C(F)C=C2)C2=CC(NCCN3CCCCC3)=C(OC)C=C2N=C1	
28555414	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28555414&database=RX&origin=ReaxysOutput&ln=	(17 of 2869)	1	69	full reaction; has preparation	4-(2-AMINOETHYL)MORPHOLINE; ethyl 6-bromo-4-[(2,4-difluorophenyl)amino]-7-methoxyquinoline-3-carboxylate	C25H28F2N4O4	278781	NCCN1CCOCC1.CCOC(=O)C1=C(NC2=CC=C(F)C=C2F)C2=CC(Br)=C(OC)C=C2N=C1>>CCOC(=O)C1=C(NC2=C(F)C=C(F)C=C2)C2=CC(NCCN3CCOCC3)=C(OC)C=C2N=C1	
28555427	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28555427&database=RX&origin=ReaxysOutput&ln=	(18 of 2869)	1	69	full reaction; has preparation	ethyl 6-bromo-4-[(2,3-dichlorophenyl)amino]-7-methoxyquinoline-3-carboxylate; N,N-dimethylethylenediamine	C23H26Cl2N4O3	278781	CCOC(=O)C1=C(NC2=CC=CC(Cl)=C2Cl)C2=CC(Br)=C(OC)C=C2N=C1.CN(C)CCN>>CCOC(=O)C1=C(NC2=C(Cl)C(Cl)=CC=C2)C2=CC(NCCN(C)C)=C(OC)C=C2N=C1	
28555434	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28555434&database=RX&origin=ReaxysOutput&ln=	(19 of 2869)	1	69	full reaction; has preparation	ethyl 7-bromo-4-[(2,3-dichlorophenyl)amino]-6-methoxyquinoline-3-carboxylate; N,N-dimethylethylenediamine	C23H26Cl2N4O3	278781	CCOC(=O)C1=C(NC2=CC=CC(Cl)=C2Cl)C2=CC(OC)=C(Br)C=C2N=C1.CN(C)CCN>>CCOC(=O)C1=C(NC2=C(Cl)C(Cl)=CC=C2)C2=CC(OC)=C(NCCN(C)C)C=C2N=C1	
28555443	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28555443&database=RX&origin=ReaxysOutput&ln=	(20 of 2869)	1	69	full reaction; has preparation	ethyl 6-bromo-4-[(2,4-difluorophenyl)amino]-7-methoxyquinoline-3-carboxylate; N,N-dimethylethylenediamine	C23H26F2N4O3	278781	CCOC(=O)C1=C(NC2=CC=C(F)C=C2F)C2=CC(Br)=C(OC)C=C2N=C1.CN(C)CCN>>CCOC(=O)C1=C(NC2=C(F)C=C(F)C=C2)C2=CC(NCCN(C)C)=C(OC)C=C2N=C1	
28555475	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28555475&database=RX&origin=ReaxysOutput&ln=	(21 of 2869)	1	69	full reaction; has preparation	ethyl 7-bromo-4-[(2,4-difluorophenyl)amino]-6-methoxyquinoline-3-carboxylate; N,N-dimethylethylenediamine	C23H26F2N4O3	278781	CCOC(=O)C1=C(NC2=CC=C(F)C=C2F)C2=CC(OC)=C(Br)C=C2N=C1.CN(C)CCN>>CCOC(=O)C1=C(NC2=C(F)C=C(F)C=C2)C2=CC(OC)=C(NCCN(C)C)C=C2N=C1	
28660047	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28660047&database=RX&origin=ReaxysOutput&ln=	(22 of 2869)	2	69	full reaction; has preparation	2,4,6-trimethylphenyl bromide; C26H24N2	C35H34N2	278768	CC1=CC(C)=C(Br)C(C)=C1.N[C@H]([C@@H](NC1=C(C=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1>>CC1=CC(C)=C(N[C@H]([C@@H](NC2=C(C=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1	
28660058	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28660058&database=RX&origin=ReaxysOutput&ln=	(23 of 2869)	2	69	full reaction; has preparation	2,4,6-trimethylphenyl bromide; C34H40N2	C43H50N2	278768	CC1=CC(C)=C(Br)C(C)=C1.CC(C)(C)C1=CC(=CC(=C1)C1=C(N[C@H]([C@@H](N)C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1)C(C)(C)C>>CC1=CC(C)=C(N[C@H]([C@@H](NC2=C(C=CC=C2)C2=CC(=CC(=C2)C(C)(C)C)C(C)(C)C)C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1	
28787169	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28787169&database=RX&origin=ReaxysOutput&ln=	(24 of 2869)	1	69	full reaction; has preparation	acetamide; C18H12BrFN4O2	C20H16FN5O3	282418	CC(N)=O.COC1=C(N=C(Br)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1>>COC1=C(N=C(NC(C)=O)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1	
28787250	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28787250&database=RX&origin=ReaxysOutput&ln=	(25 of 2869)	1	69	full reaction; has preparation	methanesulfonamide; C18H12BrFN4O2	C19H16FN5O4S	285382	CS(N)(=O)=O.COC1=C(N=C(Br)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1>>COC1=C(N=C(NS(C)(=O)=O)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1	
28787251	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28787251&database=RX&origin=ReaxysOutput&ln=	(26 of 2869)	1	69	full reaction; has preparation	N,N-dimethylsulfamide; C18H12BrFN4O2	C20H19FN6O4S	285394	CN(C)S(N)(=O)=O.COC1=C(N=C(Br)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1>>COC1=C(N=C(NS(=O)(=O)N(C)C)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1	
28787263	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28787263&database=RX&origin=ReaxysOutput&ln=	(27 of 2869)	1	69	full reaction; has preparation	C18H12BrFN4O2; toluene-4-sulfonamide	C25H20FN5O4S	285394	COC1=C(N=C(Br)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1.CC1=CC=C(C=C1)S(N)(=O)=O>>COC1=C(N=C(NS(=O)(=O)C2=CC=C(C)C=C2)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1	
28787264	https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID%3D28787264&database=RX&origin=ReaxysOutput&ln=	(28 of 2869)	1	69	full reaction; has preparation	C18H12BrFN4O2; Ethyl oxamate	C22H18FN5O5	282419	COC1=C(N=C(Br)C2=CC=CN=C12)C1=NN=C(CC2=CC=C(F)C=C2)O1.CCOC(=O)C(N)=O>>CCOC(=O)C(=O)NC1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(OC)C2=NC=CC=C12	
