name,smiles,type,sites
el401,CC(=O)c1ccc(Br)n1C,el,-
el402,CCOC(=O)c1sc2ccccc2c1Br,el,-
el403,Cc1ccc2cc(Br)c3ccc(C)nc3c2n1,el,-
el404,Cc1ccc2ccc(Br)cc2c1,el,-
el405,COc1ccc2nccc(Br)c2c1,el,-
el406,COc1ccc(CNc2cc(NCCc3ccccn3)cc(Br)n2)c(OC)c1,el,-
el407,N#Cc1cccc(Br)n1,el,-
el408,O=[N+]([O-])c1ccc2c(Br)ccnc2c1,el,-
el409,CCOC(=O)c1ccc(Br)cc1,el,-
el410,N#Cc1sccc1Br,el,-
el411,Brc1csc2ccccc12,el,-
el412,Cc1cc2c(n1-c1ccc(C#N)c(Br)c1)CC(C)(C)CC2=O,el,-
el413,CC(C)[C@H]1COC(c2ccccc2Br)=N1,el,-
el414,CCCCn1c(C=O)c(Br)c2ccccc21,el,-
el415,CCCCn1c(Br)c(C=O)c2ccccc21,el,-
el416,CCCCn1c(Br)c(C(C)=O)c2ccccc21,el,-
el417,CCn1c(Br)c(C(C)=O)c2ccccc21,el,-
el418,O=Cc1c(Br)c2ccccc2n1Cc1ccccc1,el,-
el419,CCn1c(Br)c(C=O)c2ccccc21,el,-
el420,O=Cc1c(Br)n(Cc2ccccc2)c2ccccc12,el,-
el421,CCn1c(C=O)c(Br)c2ccccc21,el,-
el422,CC(=O)c1c(Br)n(Cc2ccccc2)c2ccccc12,el,-
el423,CCCCCCn1c(Br)c(C(C)=O)c2ccccc21,el,-
el424,CC(=O)c1c(Br)n(S(=O)(=O)c2ccccc2)c2ccccc12,el,-
el425,Brc1cccn2cc(-c3ccccc3)nc12,el,-
el426,Brc1cccn2cc(C3CCOCC3)nc12,el,-
el427,COc1ccccc1-c1nc2c(Br)cccc2o1,el,-
el428,CC(C)(C)c1ccc(-c2cc(-c3ccccn3)nc(-c3cccc(Br)n3)c2)cc1,el,-
el429,COc1ccc(C#Cc2oc3ccccc3c2Br)cc1,el,-
el430,CCCCCCc1csc(-c2ccc(Br)c3n[se]nc23)c1,el,-
el431,COc1nc2ccc(Br)cc2cc1Cc1ccccc1,el,-
