name,smiles,type,sites
el1,COc1ccccc1Br,el,-
el2,CCOC(=O)c1cnc2cc(OC)c(Br)cc2c1Nc1ccc(F)cc1F,el,-
el3,CCOC(=O)c1cnc2cc(Br)c(OC)cc2c1Nc1ccc(F)cc1F,el,-
el4,Cc1cc(C)c(Br)c(C)c1,el,-
el5,COc1c(-c2nnc(Cc3ccc(F)cc3)o2)nc(Br)c2cccnc12,el,-
el6,COc1cc2ncc3c(N)nc(-c4cncc(Br)c4)cc3c2cc1OC,el,-
el7,CC(C)(C)OC(=O)NC(Cc1ccc(Br)cc1)C(=O)OC(C)(C)C,el,-
el8,CC(C)(C)OC(=O)N1C[C@@H]2C[C@]2(c2ccc(Br)cc2)C1,el,-
el9,O=c1[nH]nc(-c2ccnc(Br)c2)n1-c1ccc2ccccc2c1,el,-
el10,COc1ccc(S(=O)(=O)N(Cc2csc(Br)n2)C2CCCC2)cc1,el,-
el11,Brc1ccsc1,el,-
el12,Nc1ccc(Br)cn1,el,-
el13,Brc1cccc(Nc2cccc(Nc3ccc4cccnc4n3)n2)n1,el,-
el14,CC[C@H](C)[C@H]1COC(c2ccccc2Br)=N1,el,-
el15,Brc1cccc2cccnc12,el,-
el16,Fc1ccc(-c2ccc3cccc(Br)c3n2)cc1,el,-
el17,Brc1ccccn1,el,-
el18,Brc1nccs1,el,-
el19,Cn1cncc1-c1cc2cnc(Br)cc2n1C(=O)OC(C)(C)C,el,-
el20,CC(C)(C)OC(=O)n1cc(-c2cc3cnc(Br)cc3n2C(=O)OC(C)(C)C)cn1,el,-
el21,Brc1nccc2ccccc12,el,-
el22,Cc1ccccc1Br,el,-
el23,Cc1cc(Br)cc(C)n1,el,-
el24,Brc1cccc(CN2CCOCCOCCOCCOCC2)c1,el,-
el25,Brc1cccc(-c2ccccn2)n1,el,-
el26,CN1CCC[C@H]1COc1ccc(Br)nc1,el,-
el27,Brc1cccc(-c2nnc(-c3ccccc3)c(-c3ccccc3)n2)n1,el,-
el28,C=CC(=O)Nc1cccc(Br)n1,el,-
el29,O=[N+]([O-])c1ccc(Br)c2n[se]nc12,el,-
el30,Brc1nnc(-c2cccc(-c3cccnc3)c2)o1,el,-
el31,Brc1cccc2ncccc12,el,-
el32,Cc1nc(Br)c(C)c(C)c1OCc1ccccc1,el,-
el33,CCN(CC)Cc1cccc(Br)n1,el,-
el34,FCCc1cccc(Br)n1,el,-
el35,N[C@@H](Cc1c[nH]c2ccc(Br)cc12)C(=O)O,el,-
el36,CCn1c(=O)/c(=C2\Sc3ccccc3N2C)s/c1=C\c1ccncc1Br,el,-
el37,CCn1c(=O)/c(=C2\Sc3ccc(C)cc3N2C)s/c1=C\c1ccncc1Br,el,-
el38,CCn1c(=O)/c(=C2\Sc3ccc(OC)cc3N2C)s/c1=C\c1ccncc1Br,el,-
el39,CCn1c(=O)/c(=C2\Sc3cc(F)ccc3N2C)s/c1=C\c1ccncc1Br,el,-
el40,CCc1ccc2c(c1)S/C(=c1/s/c(=C\c3ccncc3Br)n(CC)c1=O)N2C,el,-
el41,CC(C)(C)OC(=O)NCc1cccc(Br)n1,el,-
el42,C=CCOCc1cccc(Br)n1,el,-
el43,O=S(=O)(c1ccc(Br)cc1)C12CC(SC(F)(F)F)(C1)C2,el,-
el44,FC(F)(F)C(F)(F)COc1cccn2nc(Br)nc12,el,-
el45,Brc1cccc2ccccc12,el,-
el46,Cc1ccc(Br)cc1[N+](=O)[O-],el,-
el47,Cc1cc(Br)ccn1,el,-
el48,CN1CC[C@@H](Nc2cc(Br)cnc2C#N)C1,el,-
el49,N#Cc1ccc(-c2ccc(Br)c3nonc23)cc1,el,-
el50,Brc1nnc(-c2ccccc2)c(-c2ccccc2)n1,el,-
el51,CCOC(=O)c1cc2ccc(Br)cc2[nH]1,el,-
el52,CCOC(=O)c1[nH]c2ccccc2c1Br,el,-
el53,COc1cc2ccc(Br)cc2nc1C(=O)Nc1ccc(CN2CCN(C)CC2)c(C(F)(F)F)c1,el,-
el54,CCn1c2ccc(Br)cc2c2cc(C#N)ccc21,el,-
el55,COc1nccc2cccc(Br)c12,el,-
el56,CC(C)CN(NC(=O)OC(C)(C)C)c1nc(C#N)ncc1Br,el,-
el57,Brc1nn(C2CCCCO2)c2ccccc12,el,-
el58,Cc1cc(C)c2cccc(Br)c2n1,el,-
el59,Brc1cccc(CN2CCOCCOCCOCCOCCOCC2)c1,el,-
el60,CCCCNc1nc(C)c(C#N)c2ccc(Br)cc12,el,-
el61,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(Br)cc2c1cnn2C(C)C,el,-
el62,Cc1[nH]c2c(C#N)ccc(Br)c2c1C,el,-
el63,FC(F)(F)c1ccc(Br)cn1,el,-
el64,Brc1ccc(-c2ccccc2)nc1,el,-
el65,CN(C)c1ccc(Br)cn1,el,-
el66,N#Cc1ccc(Br)cn1,el,-
el67,COC(=O)c1cnc(Br)cn1,el,-
el68,COC(=O)c1ccc(Br)o1,el,-
el69,CCOC(=O)c1cnc(Br)s1,el,-
el70,CC(=O)c1cc(Br)ccn1,el,-
el71,COC(=O)c1cc(Br)cn1C,el,-
el72,Cn1nc(Br)c2cc([N+](=O)[O-])ccc21,el,-
el73,Brc1ccc(-n2cccn2)cc1,el,-
el74,COc1ccc2cc(Br)ccc2c1,el,-
el75,COc1cc(C(C)=O)ccc1Br,el,-
el76,Brc1ccc2ncsc2c1,el,-
el77,CC(C)(C)NC(=O)O[C@@H]1CC[C@H](c2cc(Br)nn2C(c2ccccc2)c2ccccc2)C1,el,-
el78,Cc1cc(N2CCOCC2)nc2ccc(Br)cc12,el,-
el79,Cn1ccc2ccc(Br)cc21,el,-
el80,Brc1ccc(-c2ccccc2)cc1,el,-
el81,Brc1ccccc1,el,-
el82,CC(=O)c1ccc(Br)cc1,el,-
el83,COc1cc(C(C)C)c(Br)cc1C(C)(C)C,el,-
el84,COc1cc(C(C)C)c(Br)cc1C,el,-
el85,Nc1cccnc1Br,el,-
el86,COc1cccc2nccc(Br)c12,el,-
el87,NC(=O)c1cccc(Br)c1,el,-
el88,COc1cccc(Br)c1,el,-
el89,COc1ccc(C#Cc2sc3ccccc3c2Br)cc1,el,-
el90,Cc1c(F)nc(Br)c(OCc2ccccc2)c1C(=O)Oc1ccccc1,el,-
el91,CN(c1cccc(Br)c1)c1ncnc(N2CCc3ccccc3C2)n1,el,-
el92,Fc1ccccc1Br,el,-
el93,Fc1cccc(Br)c1,el,-
el94,Oc1cccc(Br)c1,el,-
el95,O=C(O)c1cccc(Br)c1,el,-
el96,Cc1ccc(Br)c(F)c1,el,-
el97,COc1ccc(Br)cc1F,el,-
el98,COc1c(F)cc(Br)cc1F,el,-
el99,CC(C)COS(=O)(=O)c1ccccc1Br,el,-
el100,CC(C)(C)OC(=O)N1CCC(Cn2cnc3cnc(Br)cc32)CC1,el,-
el101,COc1ccc(Cn2cnc3cnc(Br)cc32)cc1,el,-
el102,Brc1ccc2ccc3cccc4ccc1c2c34,el,-
el103,CCOc1cc(Br)c(C)c(N2CCN(C(=O)OC(C)(C)C)CC2)c1,el,-
el104,Cc1c(Br)cc(OCC(C)C)cc1N1CCN(C(=O)OC(C)(C)C)CC1,el,-
el105,COC(=O)c1cc(Br)c(C)c(N2CCN(C(=O)OC(C)(C)C)CC2)c1,el,-
el106,Cc1c(Br)cc(C(=O)Nc2ccccc2)cc1N1CCN(C(=O)OC(C)(C)C)CC1,el,-
el107,Cc1c(Br)cc(COCC(F)(F)F)cc1N1CCN(C(=O)OC(C)(C)C)CC1,el,-
el108,Cc1noc(-c2cc(Br)c(C)c(N3CCN(C(=O)OC(C)(C)C)CC3)c2)n1,el,-
el109,Cc1c(Br)cc(O)cc1N1CCN(C(=O)OC(C)(C)C)CC1,el,-
el110,FC(F)(F)c1ccnc(Br)c1,el,-
el111,CCOC(=O)c1ccc(C#N)c(Br)c1,el,-
el112,CCOC(OCC)c1ccccc1Br,el,-
el113,CC(C)(C)c1ccc(-c2ccccc2)c(Br)c1,el,-
el114,Cc1cc(C)cc(-c2ccc(C(C)(C)C)cc2Br)c1,el,-
el115,Fc1cccnc1Br,el,-
el116,CCOC(=O)c1cccnc1Br,el,-
el117,Cn1cc(-c2cc3cnc(Br)cc3n2C(=O)OC(C)(C)C)c(C(F)(F)F)n1,el,-
el118,Cn1cc(-c2cc3cnc(Br)cc3n2C(=O)OC(C)(C)C)cn1,el,-
el119,O=S(=O)(Nc1nccs1)c1ccc(Br)cc1,el,-
el120,CN1CCc2c3c(n(-c4ccc(C#N)c(Br)c4)c2C1)CC(C)(C)CC3=O,el,-
el121,Cc1ccc(F)c(Br)n1,el,-
el122,Fc1cnc(Br)c(F)c1,el,-
el123,Brc1cccnc1,el,-
el124,Fc1cc(C(F)(F)F)cnc1Br,el,-
el125,CCOC(=O)c1nc(C)ncc1Br,el,-
el126,CCOC(=O)c1ncnc(C)c1Br,el,-
el127,Brc1cncc(Oc2cccnc2)c1,el,-
el128,Cc1cc(F)cnc1Br,el,-
el129,Fc1cc(F)cc(Br)c1,el,-
el130,CC(C)(C)c1cc(-c2ccccc2Br)cc(C(C)(C)C)c1,el,-
el131,FC(F)(F)c1cc(-c2ccccc2Br)cc(C(F)(F)F)c1,el,-
el132,Brc1ccccc1-c1ccc2ccccc2c1,el,-
el133,CC(C)(C)OC(=O)N[C@H](CNc1cnc(C#N)c(Br)c1)CS(C)(=O)=O,el,-
el134,CC(C)(C)OC(=O)N[C@@H](CCS(C)(=O)=O)CNc1cnc(C#N)c(Br)c1,el,-
el135,CC(C)(C)OC(=O)N[C@H]1CCCC[C@H]1Nc1cnc(C#N)c(Br)c1,el,-
