,smiles,type,sites
nuc81,COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2ccc(N)cc2)cc1,nuc,24
nuc49,CC(C)(N)CO,nuc,3
nuc97,C[C@H](CN(C)C)Oc1nc(N)cnc1C#N,nuc,10
nuc111,CN1CCC(Nc2ccc3ncc(-c4ccc(N)cc4)n3n2)CC1,nuc,17
nuc118,Cc1ccc(S(=O)(=O)Nc2cccc(N)n2)cc1,nuc,14
nuc147,Nc1ccc([N+](=O)[O-])cc1,nuc,0
nuc168,CCCCN,nuc,4
nuc243,Nc1ccc(C(=O)NC2CC2)cc1,nuc,0
nuc336,Nc1ncc2c3ccnnc3n(C3CCCC3)c2n1,nuc,0
nuc414,COC[C@H](N)C(=O)N(C)C,nuc,4
nuc417,Nc1ccncc1C(=O)NC1CC1,nuc,0
nuc466,Nc1ccc(O)cn1,nuc,0
nuc501,Cc1cccc(-c2ccc(C(N)=O)cc2)c1,nuc,11
nuc554,CC(C)(C)OC(=O)N1CC[C@H](N)[C@@H](C(=O)NC2CCOCC2)C1,nuc,11
nuc566,NC1CCS(=O)(=O)C1,nuc,0
nuc575,NCC1(N2CC3CN(Cc4ccccc4)CC3C2)CCOCC1,nuc,0
nuc588,Nc1cc2ccc1CCc1ccc(cc1)CC2,nuc,0
nuc711,C#CCN,nuc,3
nuc786,Nc1cccc2c(NC(=O)c3ccc4c(c3)OCCO4)nccc12,nuc,0
nuc801,Nc1cccc2c(NC(=O)c3cc(N4CCOCC4)cc(C(F)(F)F)c3)nccc12,nuc,0
nuc853,NC(=O)c1ccc(F)cc1,nuc,0
nuc934,CC(=O)N1CCN(c2ccc(N)nc2)CC1,nuc,11
nuc948,CC(C)(C)OC(=O)N1CCN(C(=O)c2ccc(N)cn2)CC1,nuc,17
nuc982,Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,nuc,0
nuc1188,CC(C)(C)OC(=O)NN,nuc,8
nuc1207,NCC1CCCO1,nuc,0
nuc1317,CC(C)(C)OC(=O)N1C[C@@H](CCN)[C@H](O[Si](C)(C)C(C)(C)C)C1,nuc,12
nuc1522,NN=Cc1ccncc1,nuc,0
nuc1585,COc1ccccc1C(=O)NN,nuc,11
nuc1678,COC(=O)c1cc(N)ccc1F,nuc,7
nuc1698,NCCC1(c2ccccc2)CCOCC1,nuc,0
nuc1842,Cc1ccc(NC(=O)OC(C)(C)C)c(N)c1,nuc,14
nuc2071,NCc1nnc2ccc(-c3ccc(F)cc3)nn12,nuc,0
nuc2079,Nc1ccc(NC(=O)C2(C(=O)Nc3cccc(F)c3)CC2)cc1,nuc,0
nuc2160,Nc1nnc(-c2ccc(F)cc2)o1,nuc,0
nuc2210,Cc1cc(N)ncn1,nuc,4
nuc2260,CC(C)(C)OC(=O)N1CCc2nc(N)sc2C1,nuc,13
nuc2274,COc1cccc(-c2ccc([C@H](C)N)cc2)c1,nuc,13
nuc2439,CSc1ccc(N)c([N+](=O)[O-])c1,nuc,6
nuc2445,CC(C)(C)OC(=O)N1C[C@@H](N)[C@H](OCc2ccc(C(F)(F)F)cc2)C1,nuc,10
nuc2615,CC1CN(c2ccc(C(N)=O)cc2)CCN1C(=O)OC(C)(C)C,nuc,9
