name,smiles,type,sites
nuc1382,Cc1cccc(CN)c1,nuc,7
nuc1383,C=CCCN,nuc,4
nuc1384,NCCc1cccnc1,nuc,0
nuc1385,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(N)nc1,nuc,19
nuc1386,Nc1ncc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(C(F)(F)F)cc1,nuc,0
nuc1387,Nc1cccnc1F,nuc,0
nuc1388,Cc1nsc(N2C[C@H]3CC[C@@H](C2)[C@@H]3N)n1,nuc,13
nuc1389,CC(C)n1cnc(N)c1,nuc,7
nuc1390,CC(C)(C)OC(=O)N[C@@H]1CCC[C@H](C(N)=O)C1,nuc,14
nuc1391,CC(C)(C)OC(=O)N1CC2CCC(C1)C2CN,nuc,16
nuc1392,Nc1nnnn1-c1ccccc1,nuc,0
nuc1393,Cc1ccc(N)c(C)c1,nuc,5
nuc1394,Nc1cc(C(F)(F)F)ccc1-c1cnc2ccccn12,nuc,0
nuc1395,CCCCCOc1cccc(N)c1,nuc,11
nuc1396,CCCCCOc1ccc(N)cc1,nuc,10
nuc1397,CCCCCCc1cccc(N)c1,nuc,11
nuc1398,Nc1ccc(N2CCSCC2)cn1,nuc,0
nuc1399,NCc1c(F)cccc1F,nuc,0
nuc1400,NCc1ccc(F)c(C(F)(F)F)c1,nuc,0
nuc1401,NCc1ccccc1CO,nuc,0
nuc1402,NCc1cccc2ccccc12,nuc,0
nuc1403,NCc1ccc(-c2ccccc2)cc1,nuc,0
nuc1404,CCn1c2ccccc2c2cc(N)ccc21,nuc,12
nuc1405,NCCCN1CCCC1,nuc,0
nuc1406,Nc1cccc(Nc2ccccn2)n1,nuc,0
nuc1407,COC(=O)C[C@H](C)N,nuc,7
nuc1408,CCC[C@@H](N)CC(=O)OC,nuc,4
nuc1409,CCC[C@H](N)CC(=O)OC,nuc,4
nuc1410,NC(=O)CCCCCOCc1ccccc1,nuc,0
nuc1411,NC(=O)CCCCCCOCc1ccccc1,nuc,0
nuc1412,COC(=O)CCCCC(N)=O,nuc,9
nuc1413,CCCCCCCCCCCC(N)=O,nuc,12
nuc1414,Nc1ccc([N+](=O)[O-])cc1F,nuc,0
nuc1415,C=CCC(CO[Si](C)(C)C(C)(C)C)ON,nuc,14
nuc1416,C=CCC(ON)c1ccc(C)cc1,nuc,5
nuc1417,C=CCC(ON)c1cccs1,nuc,5
nuc1418,C=CCC(ON)c1ccccc1,nuc,5
nuc1419,C=CCC(ON)c1ccc(OC)cc1,nuc,5
nuc1420,CN(C)[C@@H]1CCC[C@H]1Nc1nc(N)ncc1C(F)(F)F,nuc,12
nuc1421,Cc1nc2ccccn2c1-c1ccnc(N)n1,nuc,15
nuc1422,NCCNCc1ccccc1,nuc,0
nuc1423,CCc1nnc(N)s1,nuc,6
nuc1424,Nc1nc2ccccc2n1Cc1ccccc1,nuc,0
nuc1425,COc1ccc(C=NN)cc1,nuc,8
nuc1426,COc1ccccc1C=NN,nuc,10
nuc1427,NNc1ccccc1,nuc,0
nuc1428,NCCN(Cc1ccccc1)C1C=CCC1,nuc,0
nuc1429,NC(=O)c1ccccc1C(F)(F)F,nuc,0
nuc1430,Cc1cc(N)no1,nuc,4
nuc1431,CCCCCCCc1ccc(N)cc1,nuc,11
nuc1432,COc1ccc(OC)c(N)c1,nuc,9
nuc1433,Cc1ccc(S(N)=O)cc1,nuc,6
nuc1434,COc1ccccc1-c1cccc(F)c1N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1,nuc,24
nuc1435,COC(=O)[C@@H](N)COC(C)(C)C,nuc,5
nuc1436,Nc1cccc[n+]1[O-],nuc,0
nuc1437,CC(C)COS(=O)(=O)c1ccccc1N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1,nuc,23
nuc1438,CCOc1cc(C(N)C(=O)OC)ccc1OC(C)C,nuc,7
nuc1439,Nc1nc(-c2ccc(C(F)(F)F)cc2)cs1,nuc,0
nuc1440,COc1ccc(-c2csc(N)n2)cc1,nuc,10
nuc1441,Nc1nc(-c2ccccc2)cs1,nuc,0
nuc1442,Cc1ccc(-c2csc(N)n2)cc1,nuc,9
nuc1443,Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,nuc,0
nuc1444,Cc1sc(N)nc1-c1ccccc1,nuc,4
nuc1445,Nc1nc(C23CC4CC(CC(C4)C2)C3)cs1,nuc,0
nuc1446,CN1CCC(C(N)=O)CC1,nuc,6
nuc1447,Cc1ccc([C@H](C)N)cc1,nuc,7
nuc1448,CC(C)(CN)c1ccccc1,nuc,4
nuc1449,CS(=O)(=O)Cn1ccc(N)n1,nuc,9
nuc1450,Cc1cn(C)nc1N,nuc,7
nuc1451,CCOC(=O)Cc1csc(N)n1,nuc,10
nuc1452,CC(C)(O)CN,nuc,5
nuc1453,Nc1cccc2cnccc12,nuc,0
nuc1454,CCCCN(CCCC)c1ncc(N)cn1,nuc,13
nuc1455,Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1,nuc,24
nuc1456,CC(C)c1cc(C(C)C)c(N[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)c(C(C)C)c1,nuc,19
nuc1457,CO[C@@H]1CCN(c2nccc(N)n2)C[C@@H]1F,nuc,11
nuc1458,Nc1cccc(-c2ccccn2)n1,nuc,0
nuc1459,Nc1nc(-c2ccccn2)cs1,nuc,0
nuc1460,CC(C)(C)OC(=O)N=S1(=O)CCN(c2ccc(N)nc2)CC1,nuc,17
nuc1461,CC[C@H](C)N,nuc,4
nuc1462,CCn1nc(C2CC2)cc1N,nuc,10
nuc1463,CN1CCN(c2ncc(N)cn2)CC1,nuc,9
nuc1464,Cc1ccc(N)cc1N1CCOCC1,nuc,5
nuc1465,COC(=O)CCCCCC(=O)Nc1ccc(N)cc1,nuc,16
nuc1466,COC(=O)CCCCCCCC(=O)Nc1ccc(N)cc1,nuc,18
nuc1467,CC(C)(C)OC(=O)N1CC2CCC(C1)C2N,nuc,15
nuc1468,CC(C)(C)OC(=O)N1C2CCC1CC(N)C2,nuc,14
nuc1469,Cc1cc(C)cc(Nc2ccccc2N)c1,nuc,14
nuc1470,N[C@@H](c1ccccc1)[C@@H](Nc1ccccc1-c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1,nuc,0
nuc1471,CC(C)c1cc(-c2ccccc2N[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)cc(C(C)C)c1,nuc,21
nuc1472,Nc1cccc(-c2ccccc2)n1,nuc,0
nuc1473,Nc1cccc(-c2ccccn2)c1,nuc,0
nuc1474,Cc1ccc(-c2cc(C(C)C)cc(C(C)C)c2)c(N[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)c1,nuc,27
nuc1475,CC(C)c1cc(-c2ccc(C(C)(C)C)cc2N[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)cc(C(C)C)c1,nuc,25
nuc1476,Cc1ccc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c(N[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)c1,nuc,29
nuc1477,COc1ccccc1N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1,nuc,17
