rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles
L0	Cc1nn(-c2cccc(F)c2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2cccc(F)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L1	Cc1nn(-c2ccc(F)cc2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2ccc(F)cc2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L2	Cc1nn(-c2cccc(Cl)c2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2cccc(Cl)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L3	Cc1nn(-c2cccc(C(C)C)c2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2cccc(C(C)C)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L4	Cc1nn(-c2cccc(C#N)c2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2cccc(C#N)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L5	Cc1nn(-c2cccc(N(C)C)c2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2cccc(N(C)C)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L6	Cc1nn(-c2cccc(S(C)(=O)=O)c2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2cccc(S(C)(=O)=O)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L7	Cc1cc(C)cc(-n2nc(C)c3cnc(Cl)cc32)c1	C[C@H](N)c1ccccc1	Cc1cc(C)cc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)c1
L8	Cc1nn(-c2cc(Cl)cc(Cl)c2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2cc(Cl)cc(Cl)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L9	Cc1nn(-c2cc(Cl)cc(Br)c2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(-c2cc(Cl)cc(Br)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L10	Cc1nn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c2cc(Cl)ncc12	C[C@H](N)c1ccccc1	Cc1nn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c2cc(N[C@@H](C)c3ccccc3)ncc12
L11	Clc1cc(Br)cc(-n2ncc3cnc(Cl)cc32)c1	C[C@H](N)c1ccccc1	C[C@H](Nc1cc2c(cn1)cnn2-c1cc(Cl)cc(Br)c1)c1ccccc1
L12	COc1ccccc1Br	NC(=O)c1cccnc1	COc1ccccc1NC(=O)c1cccnc1
L13	CCOC(=O)c1cnc2cc(OC)c(Br)cc2c1Nc1cccc(Cl)c1Cl	NCCN1CCCCC1	CCOC(=O)c1cnc2cc(OC)c(NCCN3CCCCC3)cc2c1Nc1cccc(Cl)c1Cl
L14	CCOC(=O)c1cnc2cc(Br)c(OC)cc2c1Nc1cccc(Cl)c1Cl	NCCN1CCCCC1	CCOC(=O)c1cnc2cc(NCCN3CCCCC3)c(OC)cc2c1Nc1cccc(Cl)c1Cl
L15	CCOC(=O)c1cnc2cc(OC)c(Br)cc2c1Nc1ccc(F)cc1F	NCCN1CCCCC1	CCOC(=O)c1cnc2cc(OC)c(NCCN3CCCCC3)cc2c1Nc1ccc(F)cc1F
L16	CCOC(=O)c1cnc2cc(OC)c(Br)cc2c1Nc1ccc(F)cc1F	NCCN1CCOCC1	CCOC(=O)c1cnc2cc(OC)c(NCCN3CCOCC3)cc2c1Nc1ccc(F)cc1F
L17	CCOC(=O)c1cnc2cc(OC)c(Br)cc2c1Nc1cccc(Cl)c1Cl	CN(C)CCN	CCOC(=O)c1cnc2cc(OC)c(NCCN(C)C)cc2c1Nc1cccc(Cl)c1Cl
