name,smiles,type,sites
el2801,FC(F)(F)c1cc(Cc2ccnc(Cl)c2)cc(C(F)(F)F)c1,el,-
el2802,FC(F)(F)c1ccc(Cc2ccnc(Cl)c2)c(C(F)(F)F)c1,el,-
el2803,FC(F)(F)c1ccc(Cc2ccnc(Cl)c2)cc1,el,-
el2804,FC(F)(F)c1ccccc1Cc1ccnc(Cl)c1,el,-
el2805,COc1cccc(Cc2ccnc(Cl)c2)c1,el,-
el2806,Clc1cc(Cc2ccccc2)ccn1,el,-
el2807,Fc1cccc(Cc2ccnc(Cl)c2)c1,el,-
el2808,Fc1ccc(Cc2ccnc(Cl)c2)cc1,el,-
el2809,FC(F)(F)Oc1cccc(Cc2ccnc(Cl)c2)c1,el,-
el2810,FC(F)(F)c1cccc(Cc2ccnc(Cl)c2)c1,el,-
el2811,Cc1cc(C#N)ncc1Oc1cc(Cl)c2ncn(C)c2n1,el,-
el2812,CC(C)(C)OC(=O)N1CC=C(c2cc(-c3ccccc3)nc(Cl)n2)CC1,el,-
el2813,FC(F)(F)c1ccc(-c2ccc3nccc(Cl)c3n2)cn1,el,-
el2814,CN1CCC(Nc2cc(Cl)nc3ccc(-c4ccc(C(F)(F)F)nc4)nc23)CC1,el,-
el2815,CS(=O)(=O)c1cccc(-c2ccc3nccc(Cl)c3n2)c1,el,-
el2816,Cc1nc(C(F)(F)F)ccc1-c1ccc2nccc(Cl)c2n1,el,-
el2817,COc1ccc2nccc(Cl)c2n1,el,-
el2818,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,el,-
el2819,Clc1cc(-n2ccnc2-c2ccccc2)ccn1,el,-
el2820,C[Si](C)(C)CCOCn1cnc2c(Cl)ncnc21,el,-
el2821,CC(C)(C)C(=O)Nc1ccc2ccc(Cl)nc2n1,el,-
el2822,Cc1nn(C)c2nc3ccccc3c(Cl)c12,el,-
el2823,Nc1cccnc1Cl,el,-
el2824,Clc1ncc2ncccc2n1,el,-
el2825,CNc1cc(-c2cccnc2Nc2c(C)ccc3c(Cl)nccc23)ncn1,el,-
el2826,Cc1cnc(Cl)nc1-c1ccc(F)cc1S(=O)(=O)N1CCCC1,el,-
el2827,O=S(=O)(c1cc(F)ccc1-c1nc(Cl)ncc1F)N1CCCC1,el,-
el2828,CCNc1nc(Cl)ncc1C(F)(F)F,el,-
el2829,CCOC(=O)c1cc(C)nc(Cl)c1,el,-
el2830,Cc1cncc(-c2cc(Cl)nc3c2c(C#N)cn3COCC[Si](C)(C)C)c1,el,-
el2831,Cc1cnc(Nc2cc(S(=O)(=O)c3ccccc3)cc(Cl)n2)s1,el,-
el2832,CC(C)(C)OC(=O)N1CC=C(c2cc(Cl)nc(N3CCC(F)(F)C3)c2)CC1,el,-
el2833,O=[N+]([O-])c1cnccc1Cl,el,-
el2834,CN1CCN(c2ccc(-c3ccnc(Cl)c3)cc2)CC1,el,-
el2835,Cc1nc(Cl)cc(N2CCN(CCO)CC2)n1,el,-
el2836,COc1cccc2c(NC(=O)c3ccccc3)nc(Cl)nc12,el,-
el2837,FC(F)(F)Oc1ccc(-c2ccnc(Cl)n2)cc1,el,-
el2838,Nc1nnc(Cl)cc1C1CC1,el,-
el2839,FC(F)(F)c1cnc(Cl)nc1N1CCN=C1c1ccnc2ccccc12,el,-
el2840,Clc1ncc2ccccc2n1,el,-
el2841,FCCOc1ccc2ccc(Cl)nc2c1,el,-
el2842,FCCCOc1ccc2nc(Cl)ccc2c1,el,-
el2843,Cc1nccc(Cl)c1[N+](=O)[O-],el,-
el2844,Cc1nc2c(F)cc(-c3ccnc(Cl)c3)cc2n1C(C)C,el,-
el2845,Cc1nc2c(F)cc(-c3cc(Cl)ncc3F)cc2n1C(C)C,el,-
el2846,Cc1nc2c(F)cc(-c3cc(Cl)ncn3)cc2n1C(C)C,el,-
el2847,Cc1nc2c(F)cc(-c3ncnc(Cl)c3F)cc2n1C(C)C,el,-
el2848,CN(C)c1ccc(Nc2nc(Cl)ncc2F)cc1,el,-
el2849,O=[N+]([O-])c1cnc(Cl)nc1Nc1c(F)cccc1F,el,-
el2850,COc1cc2c(Cl)cc(-c3ccnn3C)nc2cc1OCCCN1CCCC1,el,-
el2851,COc1cc2c(Cl)cc(C3=CCOCC3)nc2cc1OCCCN1CCCC1,el,-
el2852,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1CN(c1ccnc(Cl)n1)C2,el,-
el2853,Cc1coc2c(-c3cnn(C)c3)cc(Cl)nc12,el,-
el2854,Clc1cc(-c2ccccc2)c2occc2n1,el,-
el2855,Cc1nc(C2CCCC2)c(-c2ccnc(Cl)c2)[nH]1,el,-
el2856,Cc1nc(C2CCCCC2)c(-c2ccnc(Cl)c2)[nH]1,el,-
el2857,CC(C)c1sc(Cl)nc1C(=O)NCCCN1CCOCC1,el,-
el2858,O=C(NCCCN1CCOCC1)c1cnc(Cl)s1,el,-
el2859,Nc1ccc(C(F)(F)F)c(Cl)c1,el,-
el2860,Nc1ccc(Cl)c(O)c1,el,-
el2861,Cc1cc(C#N)cc(C)c1Oc1nc(Cl)nc2ncsc12,el,-
el2862,Cc1cc(C#N)cc(C)c1Oc1nc(Cl)nc2ccccc12,el,-
el2863,Clc1cccc(-c2cnn3ncccc23)n1,el,-
el2864,COc1ccc2c(-c3ccnc(Cl)n3)c(CO)nn2n1,el,-
el2865,CCOC(=O)c1cc2c(Cl)ccc([N+](=O)[O-])c2n1C,el,-
el2866,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2ncccn2)c1OC,el,-
el2867,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,el,-
el2868,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2ncc(OC)cn2)c1OC,el,-
el2869,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2ccc(C(=O)N(C)C)cn2)c1OC,el,-
el2870,Fc1cnc(Cl)nc1-c1cnn(C2CCC2)c1,el,-
el2871,Nc1cncnc1Cl,el,-
el2872,C[C@@H]1CCCN1c1c(C#N)c2c(Cl)nc(N)cc2n1C,el,-
el2873,COc1cc(F)ccc1-c1ccnc(Cl)c1F,el,-
el2874,Cn1cnc2c(NCc3ccccc3)nc(Cl)nc21,el,-
el2875,Clc1ccc2c(N3CCOCC3)ncnc2c1,el,-
el2876,Clc1ccc2c(N3CCCC3)ncnc2c1,el,-
el2877,CN(C)CCNc1ncnc2cc(Cl)ccc12,el,-
el2878,COc1ccc(Cn2cnc3cnc(Cl)cc32)cc1OC,el,-
el2879,COc1ccc2nc(CO)cc(Cl)c2c1,el,-
el2880,COc1ccc2nccc(Cl)c2c1,el,-
el2881,Fc1cnc(Cl)nc1-c1ccc2nccnc2c1,el,-
el2882,Cc1nc2ccc(-c3nc(Cl)ncc3F)cc2nc1C,el,-
el2883,CN(C)c1cnc2ccc(-c3nc(Cl)ncc3F)cc2n1,el,-
el2884,COc1cnc(Cl)nc1-c1ccc2ncc(N(C)C)nc2c1,el,-
el2885,Cc1ccc2cccc(Cl)c2n1,el,-
el2886,CC(c1ccc2cnc(Cl)cc2n1)C1CCN(C)CC1,el,-
el2887,CNc1nnc(C(C)C)c2cc(Cl)ncc12,el,-
el2888,Fc1ccc2c(Cl)cc(C(F)(F)F)nc2c1,el,-
el2889,CN(C)CCNC(=O)c1cccc(-c2csc3cnc(Cl)nc23)c1,el,-
el2890,COc1ccc2ncc(C#N)c(Cl)c2c1,el,-
el2891,COc1ccc2c(c1)nc(Cl)c1cccn12,el,-
el2892,Clc1cc2c(Cc3ccccc3)noc2cn1,el,-
el2893,Cn1cnc2c(NCCCO)nc(Cl)nc21,el,-
el2894,Nc1ncc2c(n1)-c1ccc(Cl)cc1NC(=O)C2,el,-
el2895,Cc1ccc2c(Cl)cccc2n1,el,-
el2896,Nc1ccc(-c2cncnc2)cc1Cl,el,-
el2897,CS(=O)(=O)Nc1ccccc1Nc1nc(Cl)ncc1F,el,-
el2898,CC(C)(C)OC(=O)n1nc(Cl)c2cc(F)ccc21,el,-
el2899,Clc1cnnc2ccccc12,el,-
el2900,COc1ccc(-c2cccc3nc(Cl)nn23)cc1,el,-
el2901,FC1(F)CCN(c2cc(C3CCOCC3)cc(Cl)n2)C1,el,-
el2902,NCCCc1ccc(-c2ccc(Cl)cc2)cc1,el,-
el2903,O=C(CCc1ccc(Cl)cc1)N(Cc1ccccc1)Cc1ccccc1,el,-
el2904,Cc1cc(Cl)nnc1N,el,-
el2905,CC(C)(C)OC(=O)N1CCC(CNc2cc(Cl)ncc2C#CCO[Si](C)(C)C(C)(C)C)CC1,el,-
el2906,CN1CCN(c2cc(Cl)nc(C3CCCN3C(=O)OC(C)(C)C)n2)CC1,el,-
el2907,Cc1ccc(-c2cc(Cl)c3cc(OC(F)(F)F)c(OCCCN4CCCC4)cc3n2)o1,el,-
el2908,COc1cc2c(Cl)cc(-c3cccnc3)nc2cc1OCCCN1CCCC1,el,-
el2909,Cc1ccc2cc(N3CCS(=O)(=O)c4ccccc4C3)nc(Cl)c2c1,el,-
el2910,OC1CCC(Nc2nc(Nc3ccc(C#Cc4cc(Cl)ccn4)cc3)ncc2-c2ccccn2)CC1,el,-
el2911,N#C/C=C/c1cc(F)c(N)c(Cl)c1,el,-
el2912,CC(=O)Nc1cc(N)ccc1Cl,el,-
el2913,CSc1ccc(N)cc1Cl,el,-
el2914,CC(C)OCCCNC(=O)c1csc(Cl)n1,el,-
el2915,CCOCCCNC(=O)c1csc(Cl)n1,el,-
el2916,Clc1nccc(-c2cnn3nc(N4CCOCC4)ccc23)n1,el,-
el2917,COc1ccc2c(-c3ccnc(Cl)n3)cnn2n1,el,-
el2918,CCOC(=O)c1cc2c(Cl)ccc([N+](=O)[O-])c2n1CC,el,-
el2919,CCOC(=O)c1cc2c(Cl)ccc([N+](=O)[O-])c2n1CC(C)C,el,-
el2920,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2ccccn2)c1OC,el,-
el2921,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2cnccn2)c1OC,el,-
el2922,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2ncc(C)cn2)c1OC,el,-
el2923,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2nccc(C)n2)c1OC,el,-
el2924,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2nccc(OC)n2)c1OC,el,-
el2925,Cc1cnc(Cl)nc1-c1c(C)nn(C)c1C,el,-
el2926,Cc1cnc(Cl)nc1-c1ccoc1,el,-
el2927,CCCn1cc(-c2nc(Cl)ncc2C)cn1,el,-
el2928,Cc1cnc(Cl)nc1-c1cnn(C2CC2)c1,el,-
el2929,Cc1cnc(Cl)nc1-c1cnn(C2CCC2)c1,el,-
el2930,Cc1cnc(Cl)nc1-c1cnn(Cc2ccccc2)c1,el,-
el2931,Cc1cnc(Cl)cc1-c1cnn(C(C)C)c1,el,-
el2932,CNC(=O)c1cnc(Cl)cc1-c1cnn(C(C)C)c1,el,-
el2933,CC(C)n1cc(-c2cc(Cl)ncn2)cn1,el,-
el2934,COc1cnc(Cl)nc1-c1cnn(C(C)C)c1,el,-
el2935,Cc1cc(-c2cnn(C(C)C)c2)nc(Cl)n1,el,-
el2936,Cc1cnc(Cl)nc1-c1cnn(C)c1,el,-
el2937,Cc1cnc(Cl)nc1-c1ccnn1C,el,-
