,smiles,type,sites
el16,Fc1ccc(-c2ccc3cccc(Br)c3n2)cc1,el,-
el169,CCOC(=O)CC(C)(C)C#Cc1ccc(Br)cc1C,el,-
el237,O=S(=O)(O)c1cc(F)c(/N=N/c2c(F)cc(Br)cc2F)c(F)c1,el,-
el574,COc1cccc(-c2nc3c(Br)cccc3n2C)c1,el,-
el423,CCCCCCn1c(Br)c(C(C)=O)c2ccccc21,el,-
el481,FC(F)(F)c1c(Br)c(-c2ccccc2)nn1-c1ccccc1,el,-
el483,CC(=O)c1cccnc1Br,el,-
el499,O=S(=O)(c1ccc(Br)cc1)N(Cc1ccccc1)c1ccccc1,el,-
el551,COc1ccc(Br)c(C#N)c1,el,-
el593,COC(=O)c1cncc(Br)c1,el,-
el1415,CCOC(=O)c1cncc(-c2ncncc2Br)c1,el,-
el1527,O=C(CN1CCN(c2cccc(Cl)n2)CC1)N1CCCCC1,el,-
el1544,Cc1cnc(Cl)nc1-c1ccccc1OC(F)(F)F,el,-
el1583,COc1cc2c(Cl)cc(-c3ccc(C)s3)nc2cc1OCCCN1CCCC1,el,-
el165,Brc1nc(-c2ccc3ccccc3c2)cs1,el,-
el1932,O=S1(=O)CCN(c2cc(Cl)c3cnccc3n2)Cc2ccccc21,el,-
el1957,CCCN1CCC(n2cc(-c3nc(Cl)ncc3F)cn2)CC1,el,-
el2139,Cc1nnc(-c2ccc(F)cc2)n1-c1ccnc(Cl)c1,el,-
el2160,COc1ccc(Cn2cnc3c(-c4ccc(OC)c(OC)c4)nc(Cl)nc32)cc1,el,-
el1487,CCN(C(=O)c1ccc2c(c1)CCCC2)c1ccnc(Cl)n1,el,-
el2257,CC(C)(C)c1ccc(-c2cc(Cl)ncn2)cc1,el,-
el361,CN(C)c1ccnc(Br)c1,el,-
el2311,Clc1cc2c(N3CCCC3)nc(OCC3CCCCC3)nc2cn1,el,-
el1901,CCc1c(Cl)ncnc1OC1CCC2(CC1)COC(C)(C)C2,el,-
el2399,Cc1cc(-n2ccc(-c3ccccn3)n2)c(CCO[Si](C)(C)C(C)(C)C)c(Cl)n1,el,-
el323,CN1CCN(c2cnc3cc(C(F)(F)F)cc(Br)c3n2)CC1,el,-
el2509,C[Si](C)(C)CCOCn1ccc2c(O[C@H]3CC[C@@](C)(O)CC3)nc(Cl)nc21,el,-
el2549,CC(=O)OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O,el,-
el2609,O=S(=O)(c1cccc2cnc(Cl)cc12)N1CCCCC1,el,-
el2697,CC(=O)OC[C@H]1O[C@@H](n2cnc3c(OCCc4ccc([N+](=O)[O-])cc4)nc(Cl)nc32)C[C@@H]1OC(C)=O,el,-
el2703,CC(C)(C)OC(=O)N1C[C@@H]2C[C@H]1CN2c1ccnc(Cl)n1,el,-
el2713,CCOC(=O)c1cc2c(Cl)ccnc2[nH]1,el,-
el2230,Cc1nc(Cl)c(F)c(N2CCN(C)CC2)n1,el,-
el1284,FC(F)(F)c1ccc2c(c1)c(Br)nn2C1CCCCC1,el,-
el2977,FCCOc1cc(Cl)ccn1,el,-
