,symbol_slice_1,symbol_slice_2,symbol_slice_3,symbol_slice_4,symbol_slice_5,symbol_slice_6,symbol_slice_7,symbol_slice_8,symbol_slice_9,symbol_slice_10,disp_slice_1,disp_slice_2,disp_slice_3,disp_slice_4,disp_slice_5,disp_slice_6,disp_slice_7,disp_slice_8,disp_slice_9,disp_slice_10,pol_slice_1,pol_slice_2,pol_slice_3,pol_slice_4,pol_slice_5,pol_slice_6,pol_slice_7,pol_slice_8,pol_slice_9,pol_slice_10,charge_slice_1,charge_slice_2,charge_slice_3,charge_slice_4,charge_slice_5,charge_slice_6,charge_slice_7,charge_slice_8,charge_slice_9,charge_slice_10,covCN_slice_1,covCN_slice_2,covCN_slice_3,covCN_slice_4,covCN_slice_5,covCN_slice_6,covCN_slice_7,covCN_slice_8,covCN_slice_9,covCN_slice_10,f+_slice_1,f+_slice_2,f+_slice_3,f+_slice_4,f+_slice_5,f+_slice_6,f+_slice_7,f+_slice_8,f+_slice_9,f+_slice_10,f-_slice_1,f-_slice_2,f-_slice_3,f-_slice_4,f-_slice_5,f-_slice_6,f-_slice_7,f-_slice_8,f-_slice_9,f-_slice_10,f0_slice_1,f0_slice_2,f0_slice_3,f0_slice_4,f0_slice_5,f0_slice_6,f0_slice_7,f0_slice_8,f0_slice_9,f0_slice_10,max_bond_order_slice_1,max_bond_order_slice_2,max_bond_order_slice_3,max_bond_order_slice_4,max_bond_order_slice_5,max_bond_order_slice_6,max_bond_order_slice_7,max_bond_order_slice_8,max_bond_order_slice_9,max_bond_order_slice_10,C_rdf_slice_1,C_rdf_slice_2,C_rdf_slice_3,C_rdf_slice_4,C_rdf_slice_5,C_rdf_slice_6,C_rdf_slice_7,C_rdf_slice_8,C_rdf_slice_9,C_rdf_slice_10,N_rdf_slice_1,N_rdf_slice_2,N_rdf_slice_3,N_rdf_slice_4,N_rdf_slice_5,N_rdf_slice_6,N_rdf_slice_7,N_rdf_slice_8,N_rdf_slice_9,N_rdf_slice_10,S_rdf_slice_1,S_rdf_slice_2,S_rdf_slice_3,S_rdf_slice_4,S_rdf_slice_5,S_rdf_slice_6,S_rdf_slice_7,S_rdf_slice_8,S_rdf_slice_9,S_rdf_slice_10,O_rdf_slice_1,O_rdf_slice_2,O_rdf_slice_3,O_rdf_slice_4,O_rdf_slice_5,O_rdf_slice_6,O_rdf_slice_7,O_rdf_slice_8,O_rdf_slice_9,O_rdf_slice_10,F_rdf_slice_1,F_rdf_slice_2,F_rdf_slice_3,F_rdf_slice_4,F_rdf_slice_5,F_rdf_slice_6,F_rdf_slice_7,F_rdf_slice_8,F_rdf_slice_9,F_rdf_slice_10
nuc1582,42.347720800000005,26.154867199999998,14.7102613504,31.730159999999998,67.31401599999998,5.5752928000000015,67.31401599999998,5.5752928000000015,5.5752928000000015,0.0,53.010999999999996,23.773,22.497,33.503,81.30999999999999,2.306,88.956,2.481,2.507,0.0,18.472,9.525,6.359,13.607,26.58,2.375,28.887,2.463,2.476,0.0,-0.049000000000000016,0.439,-0.44,0.062,-0.073,0.051,-0.063,0.038,0.036,0.0,7.1770000000000005,3.618,0.859,4.828,10.575,0.925,9.689000000000002,0.926,0.926,0.0,0.127,0.09,0.124,0.14,0.116,0.047,0.195,0.076,0.085,0.0,0.271,0.064,0.124,0.113,0.09,0.055,0.152,0.066,0.067,0.0,0.19799999999999998,0.077,0.124,0.127,0.10300000000000001,0.051,0.17400000000000002,0.071,0.076,0.0,4.141,2.607,1.67,3.347,4.8549999999999995,0.979,5.314,0.97,0.971,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc1583,42.347720800000005,26.154867199999998,14.7102613504,26.154867199999998,46.73444159999999,20.579574399999995,46.73444159999999,5.5752928000000015,13.305819542399998,0.0,52.89399999999999,23.811,22.422,30.98,59.335,29.163,55.527,2.122,11.429,0.0,18.428,9.527,6.349,11.183,19.793999999999997,8.856,19.214000000000002,2.278,3.993,0.0,-0.038000000000000006,0.438,-0.436,0.022,0.021999999999999992,-0.047,0.192,0.067,-0.219,0.0,7.1770000000000005,3.618,0.859,3.9000000000000004,6.781000000000001,2.916,6.629,0.926,0.787,0.0,0.13399999999999998,0.093,0.129,0.138,0.136,0.026,0.186,0.078,0.079,0.0,0.33,0.074,0.123,0.08499999999999999,0.078,0.028,0.125,0.059,0.099,0.0,0.232,0.084,0.126,0.111,0.10800000000000001,0.027,0.156,0.068,0.089,0.0,4.1419999999999995,2.595,1.659,2.3609999999999998,3.8689999999999998,1.453,3.8100000000000005,0.965,0.965,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
nuc1584,42.347720800000005,26.154867199999998,14.7102613504,26.154867199999998,46.73444159999999,20.579574399999995,46.73444159999999,5.5752928000000015,20.579574399999995,39.91745862719999,52.726,23.8,22.269,30.564,59.061,28.552,59.105,2.129,17.288,33.894,18.39,9.518,6.327,11.091000000000001,19.727999999999998,8.762,19.79,2.282,6.584,11.912,-0.027999999999999997,0.44,-0.429,0.041999999999999996,0.036,-0.022,0.027000000000000003,0.066,0.486,-0.619,7.1770000000000005,3.618,0.859,3.9010000000000002,6.773,2.919,6.823,0.926,3.336,2.373,0.127,0.076,0.115,0.14,0.128,0.029,0.193,0.076,0.005,0.11000000000000001,0.336,0.082,0.142,0.064,0.07899999999999999,0.024,0.11199999999999999,0.06,0.003,0.096,0.232,0.079,0.128,0.10200000000000001,0.10400000000000001,0.027,0.153,0.068,0.004,0.10200000000000001,4.145,2.598,1.663,2.367,3.863,1.447,3.8310000000000004,0.966,0.952,2.838,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
nuc1585,42.347720800000005,40.865128550399994,0.0,35.289835750399995,46.73444159999999,26.154867199999998,57.88502719999999,26.154867199999998,5.5752928000000015,0.0,52.921,46.63100000000001,0.0,47.763000000000005,55.542,22.471,65.798,31.095,2.456,0.0,18.455,15.868,0.0,14.681999999999999,19.186000000000003,8.778,25.025,11.214,2.451,0.0,-0.04400000000000001,-0.0030000000000000027,0.0,-0.325,0.192,0.101,0.02599999999999999,0.015000000000000003,0.039,0.0,7.176,4.481,0.0,4.673,6.719,4.565,8.607000000000001,3.847,0.926,0.0,0.135,0.20199999999999999,0.0,0.099,0.14300000000000002,0.015,0.175,0.146,0.086,0.0,0.29,0.158,0.0,0.093,0.089,0.012,0.21,0.088,0.059,0.0,0.212,0.18,0.0,0.096,0.11599999999999999,0.013999999999999999,0.193,0.117,0.072,0.0,4.166,4.1659999999999995,0.0,2.4539999999999997,3.79,1.958,5.797,2.407,0.971,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc1586,42.347720800000005,26.154867199999998,14.7102613504,26.154867199999998,46.73444159999999,20.579574399999995,46.73444159999999,5.5752928000000015,14.7102613504,37.3054528,53.10699999999999,23.838,22.575,31.362,59.502,29.64,56.532000000000004,2.245,18.32,27.279999999999998,18.479,9.543,6.37,11.293,19.851000000000003,8.928,19.49,2.343,5.779,13.624,-0.05100000000000002,0.43400000000000005,-0.444,0.0,0.010000000000000009,-0.066,0.135,0.056,-0.261,0.185,7.1770000000000005,3.618,0.859,3.899,6.773,2.916,6.710000000000001,0.926,1.706,6.417000000000001,0.131,0.096,0.13,0.126,0.129,0.019,0.16899999999999998,0.071,0.059,0.071,0.267,0.056,0.091,0.089,0.076,0.026,0.112,0.055,0.104,0.124,0.198,0.076,0.111,0.107,0.10200000000000001,0.022,0.139,0.063,0.082,0.097,4.131,2.592,1.656,2.3649999999999998,3.905,1.452,3.8180000000000005,0.967,1.076,3.9139999999999997,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc1587,42.347720800000005,26.154867199999998,14.7102613504,26.154867199999998,46.73444159999999,20.579574399999995,46.73444159999999,5.5752928000000015,14.7102613504,5.5752928000000015,53.083000000000006,23.834,22.556,31.323,59.471000000000004,29.715,56.533,2.205,20.503,0.712,18.472,9.541,6.368,11.282,19.843,8.939,19.521000000000004,2.322,6.113,1.326,-0.05000000000000002,0.43400000000000005,-0.443,0.0029999999999999957,0.011999999999999997,-0.069,0.133,0.059,-0.382,0.303,7.1770000000000005,3.618,0.859,3.9000000000000004,6.774,2.917,6.688999999999999,0.926,1.66,0.805,0.13399999999999998,0.098,0.132,0.13,0.133,0.02,0.174,0.074,0.064,0.044,0.296,0.063,0.104,0.094,0.081,0.028,0.13,0.06,0.097,0.046,0.214,0.08,0.118,0.111,0.10700000000000001,0.024,0.152,0.067,0.081,0.045,4.133,2.593,1.656,2.359,3.899,1.459,3.8050000000000006,0.967,1.085,0.887,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc1588,42.347720800000005,26.154867199999998,14.7102613504,31.730159999999998,5.5752928000000015,0.0,0.0,0.0,0.0,0.0,53.00000000000001,23.695,22.38,27.834000000000003,2.038,0.0,0.0,0.0,0.0,0.0,18.475,9.517,6.343,11.563,2.232,0.0,0.0,0.0,0.0,0.0,-0.05100000000000002,0.44200000000000006,-0.434,-0.030999999999999993,0.074,0.0,0.0,0.0,0.0,0.0,7.178000000000001,3.606,0.859,5.607,0.925,0.0,0.0,0.0,0.0,0.0,0.211,0.28099999999999997,0.262,0.159,0.085,0.0,0.0,0.0,0.0,0.0,0.428,0.121,0.219,0.15999999999999998,0.072,0.0,0.0,0.0,0.0,0.0,0.321,0.201,0.241,0.16,0.078,0.0,0.0,0.0,0.0,0.0,4.155,2.63,1.69,2.926,0.983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc1589,42.347720800000005,26.154867199999998,14.7102613504,31.730159999999998,52.30973439999999,11.150585600000003,5.5752928000000015,0.0,0.0,0.0,52.980000000000004,23.825000000000003,22.331,26.346,49.853,4.563000000000001,2.468,0.0,0.0,0.0,18.485,9.549,6.336,11.562000000000001,18.367,4.723000000000001,2.457,0.0,0.0,0.0,-0.05199999999999999,0.43200000000000005,-0.432,0.024000000000000004,-0.11799999999999998,0.107,0.039,0.0,0.0,0.0,7.1770000000000005,3.6149999999999998,0.859,5.703,9.365000000000002,1.85,0.925,0.0,0.0,0.0,0.19999999999999998,0.268,0.254,0.10099999999999999,0.020000000000000004,0.096,0.06,0.0,0.0,0.0,0.307,0.09799999999999999,0.176,0.14200000000000002,0.055,0.132,0.089,0.0,0.0,0.0,0.255,0.183,0.215,0.121,0.038,0.11399999999999999,0.074,0.0,0.0,0.0,4.159,2.635,1.695,2.959,3.9720000000000004,1.968,0.986,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc1590,42.347720800000005,26.154867199999998,14.7102613504,36.178141999999994,20.579574399999995,31.730159999999998,65.58823039999999,0.0,46.73444159999999,57.88502719999999,52.476,23.801,22.728,53.786,28.392,29.871,198.661,0.0,59.812,64.516,18.371000000000002,9.473,6.392,16.105,8.738,12.911999999999999,37.504,0.0,20.006999999999998,24.849,-0.01999999999999999,0.45,-0.451,-0.214,-0.015,0.23399999999999999,-0.046,0.0,-0.013999999999999999,0.076,7.182,3.614,0.859,5.186,2.922,4.879,8.203,0.0,6.768000000000001,8.616,0.07700000000000001,0.020999999999999998,0.055,0.096,0.021,0.129,0.29400000000000004,0.0,0.095,0.212,0.251,0.048,0.082,0.056,0.004,0.075,0.23399999999999999,0.0,0.07400000000000001,0.175,0.163,0.034,0.069,0.076,0.013,0.10200000000000001,0.264,0.0,0.08399999999999999,0.19399999999999998,4.164,2.561,1.634,3.138,1.549,3.524,4.062,0.0,3.891,5.793,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc1591,47.32872759999999,52.30973439999999,0.0,61.73872319999998,11.150585600000003,26.154867199999998,50.8884033504,11.150585600000003,20.579574399999995,16.725878400000006,55.966,64.234,0.0,86.14699999999999,5.011,24.773,67.382,4.697,21.558,6.743,19.739,22.872,0.0,26.366,4.95,10.101,20.171999999999997,4.792999999999999,6.638,7.024000000000001,0.127,-0.065,0.0,-0.086,0.07100000000000001,0.323,-0.591,0.095,-0.046,0.17200000000000001,7.260000000000001,7.698,0.0,8.817,1.852,3.694,7.287000000000001,1.848,3.704,2.773,0.196,0.2,0.0,0.128,0.134,0.048,0.14300000000000002,0.079,-0.026,0.099,0.23299999999999998,0.176,0.0,0.08,0.098,0.023,0.168,0.106,-0.028,0.14400000000000002,0.214,0.188,0.0,0.104,0.116,0.036,0.156,0.093,-0.027,0.12100000000000001,4.414,4.875,0.0,4.328,1.939,2.632,3.8970000000000002,1.952,1.0,2.927,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
