name,smiles,type,sites
el3601,COC(=O)CCCCCNc1ccc2ncnc(Cl)c2n1,el,-
el3602,COC(=O)CCCCCCNc1ccc2ncnc(Cl)c2n1,el,-
el3603,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1cccc(-c2ccc(C(=C)OCC)nn2)c1OC,el,-
el3604,Fc1ccc(-c2n[nH]c3nc(Cl)cc(C(F)(F)F)c23)cc1,el,-
el3605,CC(C)n1ncc2ncc(-c3nc(Cl)ncc3C(F)(F)F)cc21,el,-
el3606,Cc1cc(C#N)cc(C)c1Oc1nc(Cl)nc2cccnc12,el,-
el3607,CNC(=O)c1cnc(Cl)cc1Nc1cccc(C(=O)NC)c1OC,el,-
el3608,CNC(=O)c1cccc(Nc2cc(Cl)ncc2C(N)=O)c1OC,el,-
el3609,[2H]C([2H])(O)[C@@H](Nc1nc(Cl)ncc1C(=O)OCC)c1ccc(F)cc1,el,-
el3610,[2H]C([2H])(O)[C@@H](Nc1nc(Cl)ncc1C(=O)OCC)c1ccccc1,el,-
el3611,Cn1nccc1-c1nc(Cl)ncc1F,el,-
el3612,Cn1cc(-c2nc(Cl)ncc2F)cn1,el,-
el3613,CCOC(=O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1Nc1nc(Cl)ncc1F,el,-
el3614,CN(C)c1nc2cc(Nc3nc(Cl)ncc3F)ccc2[nH]1,el,-
el3615,Fc1cnc(Cl)nc1Nc1ccc(N2CCOCC2)cc1,el,-
el3616,Fc1cnc(Cl)nc1Nc1ccc(N2CCCCC2)cc1,el,-
el3617,Fc1cnc(Cl)nc1Nc1ccc(N2CCCC2)cc1,el,-
el3618,CCCN(CCC)c1ccc(Nc2nc(Cl)ncc2F)cc1,el,-
el3619,CCN(CC)c1ccc(Nc2nc(Cl)ncc2F)cc1,el,-
el3620,CC(C)(C)OC(=O)N1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3621,Fc1cnc(Cl)nc1Nc1ccc(N2CCNCC2)cc1,el,-
el3622,CN1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3623,CC(=O)N1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3624,CCS(=O)(=O)N1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3625,CC(C)N1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3626,OCCN1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3627,CC(C)(C)CC(=O)N1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3628,CC(C)(C)NC(=O)N1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3629,CC(C)CCN1CCN(c2ccc(Nc3nc(Cl)ncc3F)cc2)CC1,el,-
el3630,CC(C)(C)OC(=O)N1CCN(c2ccc(Nc3nc(Cl)ncc3F)cn2)CC1,el,-
el3631,Fc1cnc(Cl)nc1Nc1ccc(N2CCNCC2)nc1,el,-
el3632,CC(C)(C)OC(=O)N1CCN(c2ccc(Nc3nc(Cl)ncc3F)nc2)CC1,el,-
el3633,Fc1cnc(Cl)nc1Nc1ccc(N2CCNCC2)cn1,el,-
el3634,Fc1cnc(Cl)nc1-c1cnn(CCN2CCOCC2)c1,el,-
el3635,Cc1nn(C)cc1-c1nc(Cl)ncc1F,el,-
el3636,Clc1ncc(/C=C/c2cccs2)s1,el,-
el3637,[2H]C([2H])([2H])NC(=O)c1nnc(Cl)cc1Nc1nccc(-c2ncc(F)cn2)c1OC,el,-
el3638,COc1cc2c(cc1OC)SC(c1ccc(Cl)cc1)=NC2,el,-
el3639,COC(=O)c1ccc(-c2cncc(Cl)n2)cc1,el,-
el3640,CN1CCN(c2ccc(-c3ccnc(Cl)n3)cc2)CC1,el,-
el3641,Clc1cc(N2CCOCC2)nc(N2CCOCC2)c1,el,-
el3642,Fc1ccc(Nc2cc(Cl)cc(Nc3ccc(F)cc3)n2)cc1,el,-
el3643,Fc1ccc(Nc2cc(Cl)cc(N3CCOCC3)n2)cc1,el,-
el3644,CC(C)[C@H]1COC(=O)N1c1ccnc(Cl)n1,el,-
el3645,Cc1nc2c(n1C(C)C)CN(c1nc(Cl)ncc1F)CC2,el,-
