Nucleophile,SMILES String,CAS Number,RMM Availability,,
nuc49,CC(C)(N)CO,124-68-5,Yes,,
nuc660,CC1CCN(CC1)S(=O)(=O)C1=CC=C(N)C=C1,314285-39-7,Yes,https://www.enaminestore.com/catalog/EN300-09614,
nuc147,Nc1ccc([N+](=O)[O-])cc1,100-01-6,Yes,,
nuc168,CCCCN,109-73-9,Yes,,
nuc243,Nc1ccc(C(=O)NC2CC2)cc1,38681-77-5,Yes,,
nuc44,CC(N)C1=CC=CC=C1,618-36-0,Yes,https://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=89694&ExtHyperLink=1,
nuc1069,NS(=O)(=O)C1CCCC1,73945-39-8,Yes,https://www.ambeed.com/products/73945-39-8.html,
nuc61,NC1=NC(=CS1)C(F)(F)F,349-49-5,Yes,https://www.combi-blocks.com/cgi-bin/find.cgi?SS-0071,
nuc466,Nc1ccc(O)cn1,55717-46-9,Yes,,
nuc501v2,CN(C)C(=O)C1=CC=C(C=C1)C1=CC=CC=C1N,1345471-30-8,Yes,https://www.ambeed.com/products/1345471-30-8.html,
nuc566,NC1CCS(=O)(=O)C1,6338-70-1,No,,
nuc588,Nc1cc2ccc1CCc1ccc(cc1)CC2,10122-95-9,Yes,,
nuc711,C#CCN,2450-71-7,Yes,,
nuc853,NC(=O)c1ccc(F)cc1,824-75-9,Yes,,
nuc982,Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,57688-34-3,Yes,,
nuc1188,CC(C)(C)OC(=O)NN,870-46-2,Yes,,
nuc1207,NCC1CCCO1,4795-29-3,Yes,,
nuc1080,NS(=O)(=O)CCC(F)(F)F,1033906-44-3,Yes,https://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=38459&ExtHyperLink=1,
nuc522,CN1CCN(CCCN)CC1,4572-03-6,Yes,https://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=25568&ExtHyperLink=1,
nuc1585,COc1ccccc1C(=O)NN,7466-54-8,Yes,,
nuc1678,COC(=O)c1cc(N)ccc1F,56741-34-5,Yes,,
nuc546,CC(C)(C)OC(=O)N1CCCCC(N)C1,609789-17-5,Yes,https://www.ambeed.com/products/609789-17-5.html,
nuc1842,Cc1ccc(NC(=O)OC(C)(C)C)c(N)c1,885270-81-5,Yes,,
nuc2160,Nc1nnc(-c2ccc(F)cc2)o1,.7659-07-6,Yes,,
nuc2210,Cc1cc(N)ncn1,3435-28-7,Yes,,
nuc2260,CC(C)(C)OC(=O)N1CCc2nc(N)sc2C1,365996-05-0,Yes,,
nuc2439,CSc1ccc(N)c([N+](=O)[O-])c1,23153-09-5,Yes,,
